📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_173015/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |  Follower3   |    Steps     |    Status   
================================================================================
     0       |   -556.38    |    -5.57     |    -5.14     |    -7.43     |    -6.01     |      6       |  ❌ Failure  
     1       |  -12415.39   |   -2052.76   |   -2072.89   |   -1987.21   |   -2396.62   |     716      |  ✅ Success  
     2       |   -4757.88   |   -980.49    |   -897.50    |   -684.27    |   -836.53    |     406      |  ✅ Success  
     3       |   -676.49    |    -20.39    |    -25.90    |    -13.76    |    -13.59    |      19      |  ❌ Failure  
     4       |  -17414.10   |   -2933.50   |   -2114.49   |   -2872.01   |   -3176.44   |     1000     | ⏱️  Timeout 
     5       |   -1533.19   |   -249.32    |   -122.65    |    -99.69    |   -167.34    |     100      |  ❌ Failure  
     6       |   -1082.67   |    -71.54    |   -114.00    |    -74.31    |    -89.68    |      57      |  ❌ Failure  
     7       |   -3539.83   |   -551.77    |   -569.32    |   -431.62    |   -504.29    |     183      |  ❌ Failure  
     8       |   -9355.06   |   -1147.13   |   -1842.89   |   -1742.96   |   -2028.76   |     710      |  ✅ Success  
     9       |  -18270.67   |   -2742.86   |   -2904.75   |   -2286.14   |   -3284.81   |     1000     | ⏱️  Timeout 
     10      |   -7092.00   |   -1201.39   |   -1043.04   |   -1343.41   |   -1256.72   |     457      |  ✅ Success  
  📊 统计 [Ep 10]: Actor Loss=53.5484, Critic Loss=42.1615, Alpha=0.3485, TD-error=2.2270, Beta=1.0000
     11      |   -4221.01   |   -695.58    |   -1214.08   |   -1232.28   |   -860.42    |     403      |  ✅ Success  
     12      |  -15801.81   |   -2452.39   |   -2304.85   |   -2822.50   |   -2338.00   |     1000     | ⏱️  Timeout 
     13      |  -10445.66   |   -2243.93   |   -1881.56   |   -2244.71   |   -1859.45   |     660      |  ✅ Success  
     14      |   -9857.65   |   -1258.51   |   -1312.59   |   -1406.76   |   -1618.90   |     531      |  ❌ Failure  
