📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_205148/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
  📊 统计 [Ep 60]: Actor Loss=29.2956, Critic Loss=77.8546, Alpha=0.0471, TD-error=4.7828, Beta=1.0000
     61      |   -3487.96   |   -1249.97   |   -1342.00   |     1000     | ⏱️  Timeout 
     62      |   -3324.38   |   -1260.70   |   -1229.23   |     1000     | ⏱️  Timeout 
     63      |    935.68    |    -29.79    |    -30.22    |      27      |  ✅ Success  
     64      |   -2934.17   |   -1254.63   |   -1218.06   |     1000     | ⏱️  Timeout 
     65      |    872.30    |    -65.23    |    -64.36    |      60      |  ✅ Success  
     66      |    929.41    |    -34.06    |    -37.59    |      33      |  ✅ Success  
     67      |   -1311.91   |   -864.63    |   -916.44    |     666      |  ✅ Success  
     68      |    928.90    |    -31.96    |    -32.39    |      29      |  ✅ Success  
     69      |    826.87    |    -75.31    |    -89.27    |      64      |  ✅ Success  
     70      |    786.08    |   -100.17    |   -101.42    |      79      |  ✅ Success  
  📊 统计 [Ep 70]: Actor Loss=25.0593, Critic Loss=92.6294, Alpha=0.0337, TD-error=4.5683, Beta=1.0000
     71      |   -595.87    |    -52.60    |    -43.85    |      39      |  ❌ Failure  
     72      |    598.32    |   -160.05    |   -183.15    |     139      |  ✅ Success  
     73      |    391.10    |   -287.26    |   -250.25    |     212      |  ✅ Success  
     74      |    932.81    |    -30.27    |    -30.66    |      27      |  ✅ Success  
     75      |   -890.21    |   -742.25    |   -812.05    |     555      |  ✅ Success  
     76      |   -3311.36   |   -1638.20   |   -1282.29   |     1000     | ⏱️  Timeout 
     77      |   -3033.82   |   -1253.73   |   -1299.38   |     1000     | ⏱️  Timeout 
     78      |   -2968.29   |   -1272.33   |   -1285.22   |     1000     | ⏱️  Timeout 
     79      |    894.70    |    -44.22    |    -45.02    |      41      |  ✅ Success  
     80      |    936.62    |    -30.03    |    -36.05    |      28      |  ✅ Success  
  📊 统计 [Ep 80]: Actor Loss=18.0881, Critic Loss=111.2119, Alpha=0.0464, TD-error=5.0724, Beta=1.0000
     81      |   -3081.74   |   -1249.38   |   -1202.97   |     1000     | ⏱️  Timeout 
     82      |    944.52    |    -24.19    |    -30.14    |      27      |  ✅ Success  
     83      |   -2869.94   |   -1224.66   |   -1181.96   |     1000     | ⏱️  Timeout 
     84      |   -3026.55   |   -1212.43   |   -1196.69   |     1000     | ⏱️  Timeout 
     85      |    888.65    |    -51.37    |    -52.32    |      47      |  ✅ Success  
     86      |    917.04    |    -42.94    |    -39.56    |      37      |  ✅ Success  
     87      |    950.77    |    -22.95    |    -30.24    |      21      |  ✅ Success  
     88      |   -3331.78   |   -1244.10   |   -1202.87   |     1000     | ⏱️  Timeout 
     89      |   -3716.15   |   -1395.93   |   -1471.59   |     1000     | ⏱️  Timeout 
     90      |    941.39    |    -29.15    |    -29.47    |      28      |  ✅ Success  
  📊 统计 [Ep 90]: Actor Loss=17.3926, Critic Loss=45.6479, Alpha=0.0653, TD-error=3.7964, Beta=1.0000
     91      |   -3861.09   |   -1483.74   |   -1321.23   |     1000     | ⏱️  Timeout 
     92      |    819.98    |    -73.68    |    -77.09    |      66      |  ✅ Success  
     93      |    767.11    |    -99.53    |    -95.59    |      78      |  ✅ Success  
     94      |    951.80    |    -22.77    |    -24.03    |      22      |  ✅ Success  
     95      |    674.03    |   -142.21    |   -147.34    |     122      |  ✅ Success  
     96      |   -3627.61   |   -1404.94   |   -1347.35   |     1000     | ⏱️  Timeout 
     97      |    886.44    |    -57.36    |    -47.79    |      41      |  ✅ Success  
     98      |   -3456.27   |   -1414.57   |   -1251.13   |     1000     | ⏱️  Timeout 
     99      |    527.30    |   -199.13    |   -198.99    |     172      |  ✅ Success  
    100      |    953.05    |    -21.14    |    -24.37    |      22      |  ✅ Success  
  📊 统计 [Ep 100]: Actor Loss=14.5155, Critic Loss=96.5931, Alpha=0.1003, TD-error=7.3743, Beta=1.0000
    101      |   -4385.88   |   -1838.09   |   -1503.58   |     1000     | ⏱️  Timeout 
    102      |   -636.82    |   -645.70    |   -615.88    |     480      |  ✅ Success  
    103      |   -566.12    |    -21.16    |    -21.12    |      18      |  ❌ Failure  
    104      |    356.21    |   -232.62    |   -207.63    |     165      |  ✅ Success  
    105      |   -528.36    |    -10.54    |    -10.34    |      9       |  ❌ Failure  
    106      |    -83.03    |   -396.97    |   -412.85    |     325      |  ✅ Success  
    107      |    899.63    |    -46.60    |    -46.59    |      41      |  ✅ Success  
    108      |    818.84    |    -79.16    |    -82.57    |      70      |  ✅ Success  
    109      |   -792.56    |   -149.79    |   -135.36    |     117      |  ❌ Failure  
    110      |    949.94    |    -28.18    |    -23.47    |      27      |  ✅ Success  
  📊 统计 [Ep 110]: Actor Loss=10.5380, Critic Loss=130.4807, Alpha=0.1290, TD-error=10.3951, Beta=1.0000
    111      |    387.16    |   -209.63    |   -203.54    |     162      |  ✅ Success  
    112      |   -3558.68   |   -1264.60   |   -1401.20   |     1000     | ⏱️  Timeout 
    113      |    315.49    |   -345.34    |   -325.74    |     233      |  ✅ Success  
    114      |    721.54    |   -132.84    |   -128.78    |     113      |  ✅ Success  
    115      |   -607.80    |    -55.00    |    -59.30    |      51      |  ❌ Failure  
    116      |   -868.29    |   -663.81    |   -774.24    |     471      |  ✅ Success  
    117      |   -1585.24   |   -907.11    |   -880.43    |     669      |  ✅ Success  
    118      |    696.05    |   -139.86    |   -137.70    |     119      |  ✅ Success  
    119      |   -1879.94   |   -552.17    |   -538.18    |     433      |  ❌ Failure  
    120      |    850.15    |    -61.96    |    -65.34    |      53      |  ✅ Success  
  📊 统计 [Ep 120]: Actor Loss=9.6531, Critic Loss=192.0643, Alpha=0.2052, TD-error=13.1549, Beta=1.0000
    121      |    948.81    |    -25.22    |    -25.10    |      24      |  ✅ Success  
    122      |   -4409.69   |   -1341.52   |   -1521.16   |     1000     | ⏱️  Timeout 
    123      |   -4162.32   |   -1233.16   |   -1611.84   |     1000     | ⏱️  Timeout 
    124      |   -4257.04   |   -1259.13   |   -1491.96   |     1000     | ⏱️  Timeout 
    125      |   -1741.75   |   -836.79    |   -1192.88   |     676      |  ✅ Success  
    126      |    -96.30    |   -446.74    |   -515.80    |     387      |  ✅ Success  
    127      |    200.41    |   -327.43    |   -339.02    |     288      |  ✅ Success  
    128      |   -4089.09   |   -1194.13   |   -1358.47   |     1000     | ⏱️  Timeout 
    129      |   -3303.14   |   -1169.52   |   -1224.93   |     1000     | ⏱️  Timeout 
    130      |   -4280.26   |   -1206.64   |   -1326.63   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 130]: Actor Loss=16.6131, Critic Loss=106.7056, Alpha=0.1148, TD-error=7.4298, Beta=1.0000
    131      |   -5134.44   |   -1457.37   |   -1595.12   |     1000     | ⏱️  Timeout 
