
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 1 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/1follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/1follower/training_20251025_155817.log
============================================================

Episode  64, Steps:    9, Total: -546.24, Leader: -531.95, [F0: -14.29] - ✗ failure
Episode  65, Steps:   55, Total:  899.02, Leader:  917.47, [F0: -18.44] - ✓ success
Episode  66, Steps:   30, Total:  912.68, Leader:  928.81, [F0: -16.12] - ✓ success
Episode  67, Steps:   25, Total:  950.06, Leader:  951.43, [F0: -1.37] - ✓ success
Episode  68, Steps:   51, Total:  849.69, Leader:  888.23, [F0: -38.53] - ✓ success
Episode  69, Steps:   29, Total:  916.54, Leader:  928.89, [F0: -12.36] - ✓ success
Episode  70, Steps:   23, Total:  947.53, Leader:  952.34, [F0: -4.81] - ✓ success
Episode  71, Steps:   35, Total:  912.60, Leader:  930.82, [F0: -18.22] - ✓ success
Episode  72, Steps:   39, Total:  887.50, Leader:  907.43, [F0: -19.93] - ✓ success
Episode  73, Steps:   40, Total:  873.53, Leader:  896.65, [F0: -23.12] - ✓ success
Episode  74, Steps:   51, Total:  736.81, Leader:  789.77, [F0: -52.96] - ✓ success
Episode  75, Steps:   33, Total:  859.36, Leader:  892.01, [F0: -32.65] - ✓ success
Episode  76, Steps:   69, Total:  810.81, Leader:  858.25, [F0: -47.44] - ✓ success
Episode  77, Steps:   56, Total:  836.48, Leader:  887.94, [F0: -51.46] - ✓ success
Episode  78, Steps:  255, Total:  471.15, Leader:  559.75, [F0: -88.60] - ✓ success
Episode  79, Steps:   32, Total:  896.66, Leader:  914.80, [F0: -18.13] - ✓ success
Episode  80, Steps:    8, Total: -536.83, Leader: -532.78, [F0: -4.05] - ✗ failure
Episode  81, Steps:   42, Total:  833.31, Leader:  882.50, [F0: -49.19] - ✓ success
Episode  82, Steps:    4, Total: -516.56, Leader: -514.94, [F0: -1.63] - ✗ failure
Episode  83, Steps:   30, Total:  917.60, Leader:  929.10, [F0: -11.50] - ✓ success
Episode  84, Steps:    8, Total: -531.60, Leader: -531.36, [F0: -0.24] - ✗ failure
Episode  85, Steps:   61, Total:  841.26, Leader:  878.86, [F0: -37.60] - ✓ success
Episode  86, Steps:   27, Total:  970.80, Leader:  957.37, [F0: 13.43] - ✓ success
Episode  87, Steps:   70, Total:  880.11, Leader:  884.22, [F0: -4.11] - ✓ success
Episode  88, Steps:   75, Total:  745.20, Leader:  792.49, [F0: -47.29] - ✓ success
Episode  89, Steps:   27, Total:  893.92, Leader:  933.82, [F0: -39.90] - ✓ success
Episode  90, Steps:   35, Total:  876.40, Leader:  909.42, [F0: -33.02] - ✓ success
Episode  91, Steps:   31, Total:  911.32, Leader:  923.31, [F0: -12.00] - ✓ success
Episode  92, Steps:   36, Total:  918.19, Leader:  926.90, [F0: -8.71] - ✓ success
Episode  93, Steps:   41, Total:  835.64, Leader:  889.47, [F0: -53.84] - ✓ success
Episode  94, Steps:   46, Total:  895.03, Leader:  908.62, [F0: -13.59] - ✓ success
Episode  95, Steps:   10, Total: -553.00, Leader: -545.89, [F0: -7.12] - ✗ failure
Episode  96, Steps:  105, Total:  398.92, Leader:  461.48, [F0: -62.56] - ✓ success
Episode  97, Steps:   91, Total:  859.15, Leader:  873.64, [F0: -14.49] - ✓ success
Episode  98, Steps:   69, Total:  845.32, Leader:  876.05, [F0: -30.73] - ✓ success
Episode  99, Steps:   35, Total:  851.18, Leader:  890.45, [F0: -39.27] - ✓ success
Episode 100, Steps:   20, Total:  973.66, Leader:  968.63, [F0: 5.03] - ✓ success
Episode 101, Steps:   30, Total:  920.55, Leader:  926.72, [F0: -6.17] - ✓ success
Episode 102, Steps:   33, Total:  920.07, Leader:  930.87, [F0: -10.80] - ✓ success
Episode 103, Steps:   43, Total:  836.10, Leader:  860.88, [F0: -24.78] - ✓ success
Episode 104, Steps:   30, Total:  953.36, Leader:  945.39, [F0: 7.97] - ✓ success
Episode 105, Steps:   81, Total:  736.30, Leader:  796.66, [F0: -60.36] - ✓ success
Episode 106, Steps:   42, Total:  899.88, Leader:  904.86, [F0: -4.98] - ✓ success
Episode 107, Steps:   42, Total:  851.82, Leader:  875.25, [F0: -23.42] - ✓ success
Episode 108, Steps:   22, Total:  932.34, Leader:  945.19, [F0: -12.85] - ✓ success
Episode 109, Steps:   21, Total:  973.93, Leader:  968.00, [F0: 5.93] - ✓ success
Episode 110, Steps:  112, Total:  726.27, Leader:  775.99, [F0: -49.72] - ✓ success
Episode 111, Steps:    7, Total: -535.42, Leader: -530.50, [F0: -4.92] - ✗ failure
Episode 112, Steps:   28, Total:  955.00, Leader:  947.05, [F0: 7.95] - ✓ success
Episode 113, Steps:   16, Total: -568.92, Leader: -562.07, [F0: -6.85] - ✗ failure
Episode 114, Steps:   35, Total:  866.29, Leader:  899.23, [F0: -32.94] - ✓ success
Episode 115, Steps:   73, Total:  678.54, Leader:  722.06, [F0: -43.51] - ✓ success
Episode 116, Steps:   21, Total:  958.11, Leader:  959.13, [F0: -1.02] - ✓ success
Episode 117, Steps:   46, Total:  860.27, Leader:  874.30, [F0: -14.03] - ✓ success
Episode 118, Steps:   40, Total:  889.93, Leader:  909.32, [F0: -19.39] - ✓ success
Episode 119, Steps:   23, Total:  939.23, Leader:  949.21, [F0: -9.97] - ✓ success
Episode 120, Steps:   27, Total:  934.09, Leader:  939.72, [F0: -5.63] - ✓ success
Episode 121, Steps:   26, Total:  952.28, Leader:  949.32, [F0: 2.95] - ✓ success
Episode 122, Steps:   37, Total:  887.58, Leader:  913.28, [F0: -25.70] - ✓ success
Episode 123, Steps:   35, Total:  885.91, Leader:  912.30, [F0: -26.39] - ✓ success
Episode 124, Steps:   39, Total:  928.56, Leader:  930.88, [F0: -2.32] - ✓ success
Episode 125, Steps:   44, Total:  873.37, Leader:  886.49, [F0: -13.12] - ✓ success
Episode 126, Steps:   29, Total:  925.79, Leader:  931.36, [F0: -5.57] - ✓ success
Episode 127, Steps:   74, Total:  824.60, Leader:  840.91, [F0: -16.30] - ✓ success
Episode 128, Steps:   24, Total:  937.71, Leader:  948.35, [F0: -10.64] - ✓ success
Episode 129, Steps:   73, Total:  864.71, Leader:  886.64, [F0: -21.93] - ✓ success
Episode 130, Steps:  122, Total:  710.39, Leader:  733.02, [F0: -22.63] - ✓ success
Episode 131, Steps:   35, Total:  897.13, Leader:  914.68, [F0: -17.55] - ✓ success
Episode 132, Steps:   75, Total:  844.51, Leader:  864.98, [F0: -20.47] - ✓ success
Episode 133, Steps:   65, Total:  875.91, Leader:  889.74, [F0: -13.83] - ✓ success
Episode 134, Steps:   42, Total:  874.71, Leader:  892.23, [F0: -17.52] - ✓ success
Episode 135, Steps:   58, Total:  834.43, Leader:  859.56, [F0: -25.13] - ✓ success
Episode 136, Steps:   28, Total:  927.59, Leader:  933.37, [F0: -5.78] - ✓ success
Episode 137, Steps:    6, Total: -532.88, Leader: -528.98, [F0: -3.90] - ✗ failure
Episode 138, Steps:   48, Total:  835.12, Leader:  862.07, [F0: -26.95] - ✓ success
Episode 139, Steps:   24, Total:  920.66, Leader:  935.52, [F0: -14.86] - ✓ success
Episode 140, Steps:   24, Total:  929.04, Leader:  940.88, [F0: -11.84] - ✓ success
Episode 141, Steps:   32, Total:  896.93, Leader:  911.35, [F0: -14.42] - ✓ success
Episode 142, Steps:   65, Total:  850.22, Leader:  864.95, [F0: -14.72] - ✓ success
Episode 143, Steps:    8, Total: -552.54, Leader: -530.74, [F0: -21.80] - ✗ failure
Episode 144, Steps:   26, Total:  956.93, Leader:  953.96, [F0: 2.97] - ✓ success
Episode 145, Steps:   38, Total:  938.16, Leader:  937.46, [F0: 0.70] - ✓ success
Episode 146, Steps:   31, Total:  928.69, Leader:  927.91, [F0: 0.78] - ✓ success
Episode 147, Steps:   25, Total:  956.37, Leader:  953.16, [F0: 3.21] - ✓ success
Episode 148, Steps:   33, Total:  928.79, Leader:  927.25, [F0: 1.55] - ✓ success
Episode 149, Steps:   31, Total:  922.87, Leader:  935.45, [F0: -12.58] - ✓ success
Episode 150, Steps:    3, Total: -514.51, Leader: -513.03, [F0: -1.48] - ✗ failure
Episode 151, Steps:  101, Total:  816.47, Leader:  844.52, [F0: -28.05] - ✓ success
Episode 152, Steps:    5, Total: -527.03, Leader: -522.50, [F0: -4.53] - ✗ failure
Episode 153, Steps:   25, Total:  949.67, Leader:  949.80, [F0: -0.13] - ✓ success
Episode 154, Steps:   23, Total:  945.49, Leader:  950.13, [F0: -4.64] - ✓ success
Episode 155, Steps:   34, Total:  899.73, Leader:  904.46, [F0: -4.73] - ✓ success
Episode 156, Steps:   36, Total:  900.61, Leader:  906.32, [F0: -5.71] - ✓ success
Episode 157, Steps:   64, Total:  854.18, Leader:  870.13, [F0: -15.95] - ✓ success
Episode 158, Steps:   33, Total:  905.03, Leader:  915.02, [F0: -9.99] - ✓ success
Episode 159, Steps:   25, Total:  930.01, Leader:  944.58, [F0: -14.57] - ✓ success
Episode 160, Steps:   31, Total:  907.61, Leader:  917.90, [F0: -10.29] - ✓ success
Episode 161, Steps:   38, Total:  859.90, Leader:  879.44, [F0: -19.55] - ✓ success
Episode 162, Steps:    8, Total: -540.92, Leader: -535.89, [F0: -5.03] - ✗ failure
Episode 163, Steps:   10, Total: -550.79, Leader: -544.06, [F0: -6.73] - ✗ failure
Episode 164, Steps:   28, Total:  904.41, Leader:  936.25, [F0: -31.84] - ✓ success
Episode 165, Steps:   39, Total:  931.66, Leader:  931.10, [F0: 0.56] - ✓ success
Episode 166, Steps:   74, Total:  808.03, Leader:  835.53, [F0: -27.51] - ✓ success
Episode 167, Steps:   21, Total:  973.16, Leader:  968.41, [F0: 4.75] - ✓ success
Episode 168, Steps:   28, Total:  877.63, Leader:  919.93, [F0: -42.30] - ✓ success
Episode 169, Steps:   24, Total:  955.55, Leader:  953.20, [F0: 2.34] - ✓ success
Episode 170, Steps:  106, Total:  808.61, Leader:  815.75, [F0: -7.14] - ✓ success
Episode 171, Steps:    8, Total: -536.52, Leader: -530.99, [F0: -5.53] - ✗ failure
Episode 172, Steps:   27, Total:  936.28, Leader:  939.94, [F0: -3.66] - ✓ success
Episode 173, Steps:  167, Total:  586.92, Leader:  649.49, [F0: -62.57] - ✓ success
Episode 174, Steps:   25, Total:  964.77, Leader:  960.27, [F0: 4.51] - ✓ success
Episode 175, Steps:  182, Total:  631.10, Leader:  675.18, [F0: -44.08] - ✓ success
Episode 176, Steps:   24, Total:  909.15, Leader:  923.81, [F0: -14.66] - ✓ success
Episode 177, Steps:   53, Total:  917.39, Leader:  922.53, [F0: -5.15] - ✓ success
Episode 178, Steps:   22, Total:  966.58, Leader:  963.92, [F0: 2.66] - ✓ success
Episode 179, Steps:   26, Total:  938.68, Leader:  942.70, [F0: -4.02] - ✓ success
Episode 180, Steps:   26, Total:  946.01, Leader:  947.65, [F0: -1.64] - ✓ success
Episode 181, Steps:   31, Total:  894.64, Leader:  911.77, [F0: -17.12] - ✓ success
Episode 182, Steps:   87, Total:  896.03, Leader:  877.19, [F0: 18.85] - ✓ success
Episode 183, Steps:   26, Total:  954.69, Leader:  950.11, [F0: 4.57] - ✓ success
Episode 184, Steps:    7, Total: -535.30, Leader: -532.11, [F0: -3.19] - ✗ failure
Episode 185, Steps:   27, Total:  959.92, Leader:  951.22, [F0: 8.69] - ✓ success
Episode 186, Steps:   49, Total:  910.04, Leader:  916.18, [F0: -6.14] - ✓ success
Episode 187, Steps:    6, Total: -522.86, Leader: -520.34, [F0: -2.51] - ✗ failure
Episode 188, Steps:   34, Total:  898.40, Leader:  907.62, [F0: -9.22] - ✓ success
Episode 189, Steps:   34, Total:  873.52, Leader:  895.30, [F0: -21.78] - ✓ success
Episode 190, Steps:   61, Total:  900.80, Leader:  901.36, [F0: -0.55] - ✓ success
Episode 191, Steps:   22, Total:  931.72, Leader:  944.74, [F0: -13.02] - ✓ success
Episode 192, Steps:   26, Total:  932.12, Leader:  935.00, [F0: -2.88] - ✓ success
Episode 193, Steps:   25, Total:  965.49, Leader:  957.34, [F0: 8.15] - ✓ success
Episode 194, Steps:   21, Total:  935.20, Leader:  948.65, [F0: -13.45] - ✓ success
Episode 195, Steps:   58, Total:  856.82, Leader:  882.65, [F0: -25.84] - ✓ success
Episode 196, Steps:    7, Total: -527.20, Leader: -526.27, [F0: -0.93] - ✗ failure
Episode 197, Steps:   31, Total:  884.49, Leader:  905.44, [F0: -20.95] - ✓ success
Episode 198, Steps:   27, Total:  921.25, Leader:  929.87, [F0: -8.62] - ✓ success
Episode 199, Steps:   26, Total:  947.45, Leader:  947.12, [F0: 0.33] - ✓ success
Episode 200, Steps:   11, Total: -538.75, Leader: -532.82, [F0: -5.94] - ✗ failure
Episode 201, Steps:    4, Total: -510.49, Leader: -512.49, [F0: 2.00] - ✗ failure
Episode 202, Steps:   21, Total:  932.16, Leader:  945.73, [F0: -13.57] - ✓ success
Episode 203, Steps:   32, Total:  915.01, Leader:  919.91, [F0: -4.91] - ✓ success
Episode 204, Steps:  125, Total:  725.30, Leader:  762.60, [F0: -37.29] - ✓ success
Episode 205, Steps:   25, Total:  945.17, Leader:  946.89, [F0: -1.72] - ✓ success
Episode 206, Steps:   28, Total:  915.26, Leader:  926.27, [F0: -11.01] - ✓ success
Episode 207, Steps:   31, Total:  883.42, Leader:  903.78, [F0: -20.36] - ✓ success
Episode 208, Steps:   22, Total:  974.22, Leader:  967.18, [F0: 7.04] - ✓ success
Episode 209, Steps:   20, Total:  978.49, Leader:  971.71, [F0: 6.78] - ✓ success
Episode 210, Steps:    7, Total: -533.74, Leader: -530.01, [F0: -3.73] - ✗ failure
Episode 211, Steps:   26, Total:  926.09, Leader:  934.71, [F0: -8.62] - ✓ success
Episode 212, Steps:   24, Total:  946.35, Leader:  949.13, [F0: -2.79] - ✓ success
Episode 213, Steps:   41, Total:  846.93, Leader:  866.54, [F0: -19.61] - ✓ success
Episode 214, Steps:    8, Total: -532.06, Leader: -528.75, [F0: -3.31] - ✗ failure
Episode 215, Steps:    4, Total: -521.92, Leader: -519.59, [F0: -2.32] - ✗ failure
Episode 216, Steps:    4, Total: -520.37, Leader: -517.89, [F0: -2.48] - ✗ failure
Episode 217, Steps:   10, Total: -544.68, Leader: -541.11, [F0: -3.57] - ✗ failure
Episode 218, Steps:   35, Total:  861.09, Leader:  885.31, [F0: -24.22] - ✓ success
Episode 219, Steps:   29, Total:  925.15, Leader:  929.68, [F0: -4.53] - ✓ success
Episode 220, Steps:   26, Total:  929.21, Leader:  936.67, [F0: -7.46] - ✓ success
  💾 模型已保存 (episode 220)
Episode 221, Steps:    6, Total: -528.07, Leader: -525.84, [F0: -2.23] - ✗ failure
Episode 222, Steps:   22, Total:  932.81, Leader:  944.30, [F0: -11.49] - ✓ success
Episode 223, Steps:   23, Total:  958.51, Leader:  956.75, [F0: 1.76] - ✓ success
Episode 224, Steps:   30, Total:  938.29, Leader:  938.56, [F0: -0.27] - ✓ success
Episode 225, Steps:  219, Total:  621.36, Leader:  666.17, [F0: -44.81] - ✓ success
Episode 226, Steps:   22, Total:  937.61, Leader:  947.94, [F0: -10.33] - ✓ success
Episode 227, Steps:   30, Total:  913.79, Leader:  925.07, [F0: -11.29] - ✓ success
Episode 228, Steps:   26, Total:  939.01, Leader:  945.97, [F0: -6.96] - ✓ success
Episode 229, Steps:    7, Total: -535.07, Leader: -530.10, [F0: -4.97] - ✗ failure
Episode 230, Steps:   29, Total:  907.39, Leader:  924.01, [F0: -16.61] - ✓ success
Episode 231, Steps:   25, Total:  931.66, Leader:  933.96, [F0: -2.30] - ✓ success
Episode 232, Steps:   26, Total:  939.72, Leader:  945.64, [F0: -5.91] - ✓ success
Episode 233, Steps:   26, Total:  917.99, Leader:  927.18, [F0: -9.19] - ✓ success
Episode 234, Steps:   29, Total:  930.42, Leader:  935.48, [F0: -5.06] - ✓ success
Episode 235, Steps:   30, Total:  940.66, Leader:  936.70, [F0: 3.96] - ✓ success
Episode 236, Steps:  318, Total:  335.74, Leader:  444.02, [F0: -108.28] - ✓ success
Episode 237, Steps:   29, Total:  915.55, Leader:  930.19, [F0: -14.64] - ✓ success
Episode 238, Steps:   29, Total:  909.77, Leader:  922.34, [F0: -12.58] - ✓ success
Episode 239, Steps:   12, Total: -553.04, Leader: -545.23, [F0: -7.81] - ✗ failure
Episode 240, Steps:   29, Total:  933.28, Leader:  935.42, [F0: -2.15] - ✓ success
  💾 模型已保存 (episode 240)
Episode 241, Steps:   36, Total:  867.99, Leader:  885.56, [F0: -17.57] - ✓ success
Episode 242, Steps:   32, Total:  880.58, Leader:  901.17, [F0: -20.59] - ✓ success
Episode 243, Steps:   71, Total:  574.80, Leader:  625.72, [F0: -50.92] - ✓ success
Episode 244, Steps:   62, Total:  719.26, Leader:  768.00, [F0: -48.74] - ✓ success
Episode 245, Steps:   41, Total:  870.92, Leader:  894.63, [F0: -23.71] - ✓ success
Episode 246, Steps:   10, Total: -559.47, Leader: -549.89, [F0: -9.58] - ✗ failure
Episode 247, Steps:   23, Total:  950.17, Leader:  955.08, [F0: -4.91] - ✓ success
Episode 248, Steps:   25, Total:  962.26, Leader:  956.37, [F0: 5.89] - ✓ success
Episode 249, Steps:    6, Total: -527.32, Leader: -524.42, [F0: -2.90] - ✗ failure
Episode 250, Steps:   58, Total:  720.58, Leader:  739.75, [F0: -19.17] - ✓ success
Episode 251, Steps:   27, Total:  928.95, Leader:  943.46, [F0: -14.50] - ✓ success
Episode 252, Steps:   28, Total:  898.50, Leader:  913.68, [F0: -15.19] - ✓ success
Episode 253, Steps:  119, Total:  756.85, Leader:  809.35, [F0: -52.50] - ✓ success
Episode 254, Steps:   32, Total:  914.83, Leader:  928.82, [F0: -13.99] - ✓ success
Episode 255, Steps:   30, Total:  938.10, Leader:  937.22, [F0: 0.88] - ✓ success
Episode 256, Steps:   25, Total:  942.35, Leader:  946.99, [F0: -4.64] - ✓ success
Episode 257, Steps:   36, Total:  894.58, Leader:  909.61, [F0: -15.03] - ✓ success
