📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251030_112631/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |  Follower3   |    Steps     |    Status   
================================================================================
     0       |   -556.71    |    -5.77     |    -6.55     |    -7.26     |    -5.87     |      6       |  ❌ Failure  
     1       |   -752.64    |    -26.01    |    -29.89    |    -18.44    |    -39.42    |      28      |  ❌ Failure  
     2       |   -6758.68   |   -1184.14   |   -1288.45   |   -1187.90   |   -1220.27   |     474      |  ✅ Success  
     3       |   -1026.81   |    -71.26    |    -92.33    |   -100.33    |    -88.20    |      49      |  ❌ Failure  
     4       |   -554.14    |    -5.62     |    -6.69     |    -7.00     |    -3.39     |      6       |  ❌ Failure  
     5       |   -6821.46   |   -1356.98   |   -1299.22   |   -1325.27   |   -1459.49   |     556      |  ✅ Success  
     6       |   -656.07    |    -12.30    |    -20.01    |    -17.36    |    -32.29    |      18      |  ❌ Failure  
     7       |  -17284.76   |   -3029.10   |   -2418.18   |   -2542.83   |   -2162.43   |     1000     | ⏱️  Timeout 
     8       |  -15710.35   |   -2461.37   |   -2500.80   |   -3052.29   |   -2326.89   |     972      |  ✅ Success  
     9       |  -14857.75   |   -2864.11   |   -2265.26   |   -2289.42   |   -3258.76   |     1000     | ⏱️  Timeout 
     10      |  -16692.04   |   -2643.30   |   -3050.23   |   -2677.89   |   -2682.33   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 10]: Actor Loss=53.8094, Critic Loss=54.2835, Alpha=0.3471, TD-error=2.5091, Beta=1.0000
     11      |   -895.06    |    -37.37    |    -42.82    |    -49.97    |    -68.87    |      38      |  ❌ Failure  
     12      |   -1266.95   |    -99.69    |   -129.60    |   -159.95    |   -114.51    |      63      |  ❌ Failure  
     13      |   -2571.99   |   -379.61    |   -517.84    |   -567.32    |   -431.33    |     197      |  ❌ Failure  
     14      |  -14898.73   |   -2581.29   |   -2184.72   |   -2274.80   |   -2927.80   |     1000     | ⏱️  Timeout 
     15      |   -5300.36   |   -937.32    |   -685.22    |   -859.20    |   -486.91    |     353      |  ❌ Failure  
     16      |  -18810.15   |   -2710.50   |   -2883.15   |   -2323.02   |   -3106.62   |     1000     | ⏱️  Timeout 
     17      |  -12089.07   |   -2235.73   |   -1684.69   |   -2448.19   |   -1891.86   |     790      |  ✅ Success  
     18      |  -11869.10   |   -1738.32   |   -1610.24   |   -1688.06   |   -1599.82   |     665      |  ❌ Failure  
     19      |   -3114.57   |   -901.94    |   -732.29    |   -786.07    |   -792.39    |     303      |  ✅ Success  
     20      |   -565.44    |    -5.95     |    -7.34     |    -8.42     |    -9.47     |      7       |  ❌ Failure  
  📊 统计 [Ep 20]: Actor Loss=57.9994, Critic Loss=156.4758, Alpha=0.1359, TD-error=4.8924, Beta=1.0000
     21      |  -14610.11   |   -2401.09   |   -2206.59   |   -1698.89   |   -2532.11   |     1000     | ⏱️  Timeout 
     22      |  -12453.56   |   -2337.68   |   -2416.93   |   -1963.60   |   -2505.34   |     1000     | ⏱️  Timeout 
     23      |  -12041.72   |   -2169.45   |   -2868.91   |   -2157.37   |   -2460.43   |     1000     | ⏱️  Timeout 
     24      |   -9162.67   |   -2060.31   |   -1658.51   |   -1547.13   |   -2301.25   |     1000     | ⏱️  Timeout 
     25      |    531.34    |    -95.86    |    -65.70    |    -58.45    |   -109.09    |      49      |  ✅ Success  
     26      |   -9581.86   |   -1921.65   |   -1806.00   |   -1498.81   |   -2101.71   |     1000     | ⏱️  Timeout 
     27      |   -965.27    |    -73.32    |    -60.74    |    -69.25    |    -51.69    |      43      |  ❌ Failure  
     28      |   -810.55    |    -29.19    |    -28.27    |    -36.69    |    -42.58    |      35      |  ❌ Failure  
     29      |   -768.72    |    -24.64    |    -36.82    |    -25.74    |    -31.44    |      32      |  ❌ Failure  
     30      |   -880.49    |   -379.37    |   -172.81    |   -240.84    |   -245.76    |     192      |  ✅ Success  
  📊 统计 [Ep 30]: Actor Loss=52.2361, Critic Loss=45.7116, Alpha=0.0536, TD-error=2.2963, Beta=1.0000
     31      |   -3729.38   |   -669.91    |   -1325.27   |   -804.20    |   -887.52    |     420      |  ✅ Success  
     32      |    207.15    |   -137.42    |   -146.33    |   -137.87    |   -135.11    |      62      |  ✅ Success  
     33      |    260.12    |   -103.73    |    -70.69    |   -105.18    |    -79.41    |      73      |  ✅ Success  
     34      |   -616.00    |    -11.35    |    -16.76    |    -9.77     |    -8.79     |      13      |  ❌ Failure  
     35      |   -585.91    |    -9.63     |    -5.75     |    -8.30     |    -6.06     |      12      |  ❌ Failure  
     36      |  -10794.80   |   -2255.34   |   -1702.70   |   -1714.58   |   -2984.78   |     1000     | ⏱️  Timeout 
     37      |  -15003.98   |   -1803.31   |   -2252.07   |   -977.72    |   -2236.44   |     1000     | ⏱️  Timeout 
     38      |  -12074.37   |   -1530.21   |   -1259.38   |   -1177.10   |   -2622.12   |     1000     | ⏱️  Timeout 
     39      |  -16251.05   |   -1792.84   |   -1610.88   |   -2730.81   |   -1844.33   |     1000     | ⏱️  Timeout 
     40      |   -8329.23   |   -1223.64   |   -1274.29   |   -1282.80   |   -1318.99   |     769      |  ✅ Success  
  📊 统计 [Ep 40]: Actor Loss=60.9402, Critic Loss=91.5240, Alpha=0.0920, TD-error=3.6419, Beta=1.0000
     41      |   -3785.92   |   -955.25    |   -780.61    |   -839.08    |   -1062.48   |     614      |  ✅ Success  
     42      |   -1574.90   |   -258.54    |   -205.15    |   -317.56    |   -313.65    |     244      |  ✅ Success  
     43      |   -2265.30   |   -277.19    |   -257.09    |   -327.39    |   -305.92    |     209      |  ❌ Failure  
     44      |  -11805.75   |   -1302.54   |   -1129.91   |   -900.91    |   -1170.98   |     1000     | ⏱️  Timeout 
     45      |   -9336.12   |   -881.74    |   -809.22    |   -1195.77   |   -1095.50   |     1000     | ⏱️  Timeout 
     46      |  -12191.48   |   -1339.34   |   -989.33    |   -1301.31   |   -965.40    |     1000     | ⏱️  Timeout 
     47      |  -11892.09   |   -1124.80   |   -1216.60   |   -896.84    |   -878.76    |     1000     | ⏱️  Timeout 
     48      |  -11996.37   |   -1147.60   |   -882.97    |   -870.86    |   -946.32    |     1000     | ⏱️  Timeout 
     49      |  -12344.09   |   -1089.29   |   -736.53    |   -838.82    |   -955.58    |     1000     | ⏱️  Timeout 
     50      |  -11290.38   |   -1231.52   |   -892.41    |   -795.41    |   -822.33    |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 50]: Actor Loss=42.1128, Critic Loss=20.3096, Alpha=0.0407, TD-error=1.6196, Beta=1.0000
     51      |  -12786.14   |   -1124.55   |   -1206.12   |   -1081.44   |   -1270.38   |     1000     | ⏱️  Timeout 
     52      |  -10435.48   |   -900.22    |   -830.56    |   -756.53    |   -691.36    |     1000     | ⏱️  Timeout 
     53      |   -6802.05   |   -484.66    |   -511.97    |   -480.22    |   -647.23    |     1000     | ⏱️  Timeout 
     54      |   -5019.95   |   -385.20    |   -471.04    |   -250.23    |   -383.73    |     597      |  ❌ Failure  
     55      |  -11346.52   |   -3607.79   |   -1039.63   |   -1761.69   |   -1000.97   |     1000     | ⏱️  Timeout 
     56      |   -6190.35   |   -737.99    |   -759.30    |   -689.28    |   -661.67    |     1000     | ⏱️  Timeout 
     57      |    305.56    |    -60.22    |    -78.69    |   -107.25    |    -86.92    |      92      |  ✅ Success  
     58      |   -4562.37   |   -828.33    |   -600.24    |   -472.29    |   -602.81    |     991      |  ✅ Success  
     59      |   -7870.87   |   -1218.89   |   -1937.09   |   -946.13    |   -1130.07   |     1000     | ⏱️  Timeout 
     60      |   -335.32    |   -139.12    |   -167.29    |   -177.53    |   -154.25    |     191      |  ✅ Success  
  📊 统计 [Ep 60]: Actor Loss=34.6279, Critic Loss=16.4870, Alpha=0.0469, TD-error=1.4713, Beta=1.0000
     61      |   -1428.55   |   -120.55    |    -74.81    |    -20.90    |    -62.58    |     116      |  ❌ Failure  
     62      |   -735.01    |    -17.82    |    -16.31    |    -22.46    |    -11.71    |      28      |  ❌ Failure  
     63      |    137.67    |    -90.22    |   -111.94    |   -164.21    |   -143.09    |     102      |  ✅ Success  
     64      |   -1075.66   |   -401.85    |   -370.43    |   -333.51    |   -329.16    |     306      |  ✅ Success  
     65      |   -597.99    |    -5.79     |    -6.25     |    -7.74     |    -8.44     |      13      |  ❌ Failure  
     66      |   -569.11    |    -4.55     |    -5.54     |    -4.65     |    -6.38     |      9       |  ❌ Failure  
     67      |   -811.31    |    -32.73    |    -30.34    |    -18.69    |    -22.98    |      40      |  ❌ Failure  
     68      |   -892.82    |    -27.91    |    -26.91    |    -30.52    |    -33.61    |      44      |  ❌ Failure  
     69      |   -763.28    |    -26.94    |    -21.86    |    -20.05    |    -33.43    |      30      |  ❌ Failure  
     70      |   -1417.91   |   -131.96    |   -136.66    |    -38.50    |   -114.40    |     104      |  ❌ Failure  
  📊 统计 [Ep 70]: Actor Loss=34.0003, Critic Loss=38.3939, Alpha=0.0447, TD-error=2.5676, Beta=1.0000
     71      |   -1890.15   |   -125.39    |   -110.51    |    50.47     |   -136.14    |     241      |  ❌ Failure  
     72      |    425.25    |    -80.41    |    -61.49    |    -49.95    |    -64.40    |      82      |  ✅ Success  
     73      |   -1933.48   |   -172.62    |   -192.86    |    -37.04    |   -118.76    |     196      |  ❌ Failure  
     74      |   -444.52    |   -255.40    |   -180.44    |   -201.39    |   -190.52    |     188      |  ✅ Success  
     75      |    95.07     |   -128.86    |   -126.50    |   -123.40    |   -132.31    |     130      |  ✅ Success  
     76      |    692.13    |    -50.53    |    -43.68    |    -38.92    |    -37.57    |      45      |  ✅ Success  
     77      |    -39.66    |   -116.04    |   -126.89    |   -133.31    |   -144.54    |     171      |  ✅ Success  
     78      |   -3944.00   |   -255.34    |   -278.46    |   -266.06    |   -275.53    |     385      |  ❌ Failure  
     79      |   -662.42    |    -10.64    |    -18.78    |    -8.70     |    -10.91    |      19      |  ❌ Failure  
     80      |    302.11    |    -58.06    |    -62.92    |   -101.28    |    -74.91    |      74      |  ✅ Success  
  📊 统计 [Ep 80]: Actor Loss=35.3037, Critic Loss=141.6382, Alpha=0.0541, TD-error=4.7001, Beta=1.0000
     81      |   -5438.15   |   -745.06    |   -711.20    |   -615.91    |   -603.83    |     1000     | ⏱️  Timeout 
     82      |   -5793.18   |   -296.49    |   -428.70    |   -203.27    |   -483.63    |     1000     | ⏱️  Timeout 
     83      |   -1482.53   |   -125.19    |   -104.80    |    -66.05    |    19.71     |     123      |  ❌ Failure  
     84      |    713.90    |    -38.86    |    -39.46    |    -28.94    |    -41.36    |      42      |  ✅ Success  
     85      |   -9675.43   |   -823.90    |   -872.84    |   -520.20    |   -1052.01   |     1000     | ⏱️  Timeout 
     86      |   -6084.70   |   -774.42    |   -928.80    |   -763.37    |   -862.80    |     1000     | ⏱️  Timeout 
     87      |   -2230.43   |   -188.12    |   -432.73    |   -134.19    |   -493.11    |     359      |  ✅ Success  
     88      |   -542.56    |    -3.51     |    -4.43     |    -3.75     |    -4.34     |      5       |  ❌ Failure  
     89      |   -6522.68   |   -378.59    |   -532.69    |   -222.38    |   -578.39    |     1000     | ⏱️  Timeout 
     90      |   -5409.26   |   -285.31    |   -274.88    |   -158.51    |   -560.28    |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 90]: Actor Loss=32.1485, Critic Loss=97.7405, Alpha=0.0738, TD-error=3.5087, Beta=1.0000
     91      |   -3265.24   |   -340.41    |   -358.40    |   -423.41    |   -596.61    |     827      |  ✅ Success  
     92      |    614.11    |    -52.45    |    -43.43    |    -19.19    |    -50.94    |      72      |  ✅ Success  
     93      |   -752.18    |   -140.74    |   -237.10    |   -111.14    |   -194.31    |     292      |  ✅ Success  
     94      |    628.45    |    -41.73    |    -31.79    |    -30.35    |    -44.65    |      55      |  ✅ Success  
     95      |   -1830.46   |   -221.65    |   -382.55    |    -9.18     |   -287.22    |     638      |  ✅ Success  
     96      |   -5702.25   |   -218.56    |   -320.92    |    -89.82    |   -534.47    |     1000     | ⏱️  Timeout 
     97      |   -874.26    |    -59.18    |    -29.51    |    -13.45    |    -23.38    |      44      |  ❌ Failure  
     98      |   -1737.96   |   -104.46    |   -130.43    |    -51.72    |   -179.02    |     138      |  ❌ Failure  
     99      |   -7484.29   |   -896.28    |   -1664.91   |   -933.81    |   -1055.64   |     1000     | ⏱️  Timeout 
    100      |   -4655.30   |   -141.97    |   -252.43    |    65.78     |   -420.77    |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 100]: Actor Loss=26.7580, Critic Loss=73.2431, Alpha=0.1022, TD-error=3.0534, Beta=1.0000
    101      |   -4218.35   |   -277.15    |   -160.97    |    280.12    |   -728.77    |     1000     | ⏱️  Timeout 
    102      |    753.30    |    -17.96    |    -23.60    |    -32.82    |    -25.46    |      39      |  ✅ Success  
    103      |   -1920.24   |   -255.13    |   -318.13    |    -59.32    |   -291.91    |     584      |  ✅ Success  
    104      |   -3415.47   |   -372.79    |   -513.56    |   -411.90    |   -785.94    |     656      |  ✅ Success  
    105      |    -97.71    |    -71.55    |    -72.31    |   -110.67    |    -27.30    |     173      |  ✅ Success  
    106      |   -2112.32   |    -28.92    |    -67.90    |    11.36     |   -200.37    |     315      |  ❌ Failure  
    107      |   -1561.57   |   -397.52    |   -385.17    |   -555.67    |   -403.59    |     447      |  ✅ Success  
    108      |   -1668.69   |   -163.09    |   -417.11    |   -183.15    |   -325.97    |     412      |  ✅ Success  
    109      |   -111.14    |    -66.92    |    -86.69    |   -117.70    |   -115.21    |     161      |  ✅ Success  
    110      |    315.54    |    -73.81    |    -74.08    |    -87.68    |   -183.24    |      97      |  ✅ Success  
  📊 统计 [Ep 110]: Actor Loss=23.4468, Critic Loss=94.0877, Alpha=0.0805, TD-error=3.4376, Beta=1.0000
    111      |   -397.73    |    -81.85    |   -161.36    |    -27.84    |   -157.24    |     228      |  ✅ Success  
    112      |   -1471.83   |    -61.83    |    -25.32    |    -25.68    |   -103.50    |     152      |  ❌ Failure  
    113      |   -463.95    |    -39.77    |   -100.49    |    -46.33    |   -155.38    |     284      |  ✅ Success  
    114      |   -1170.51   |   -139.03    |    -34.17    |    -96.52    |   -179.47    |     379      |  ✅ Success  
    115      |   -7183.33   |   -966.11    |   -1257.63   |   -875.90    |   -1074.75   |     1000     | ⏱️  Timeout 
