📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_165059/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |    Steps     |    Status   
================================================================================
     0       |   -544.18    |    -6.20     |    -5.61     |    -6.30     |      6       |  ❌ Failure  
     1       |   -673.66    |    -16.08    |    -29.03    |    -29.02    |      17      |  ❌ Failure  
     2       |   -6511.67   |   -1036.54   |   -1395.37   |   -1340.83   |     455      |  ✅ Success  
     3       |  -12155.26   |   -2026.40   |   -1608.61   |   -2945.07   |     757      |  ❌ Failure  
     4       |   -7846.77   |   -1701.23   |   -992.74    |   -1591.31   |     595      |  ✅ Success  
     5       |  -11310.20   |   -2187.30   |   -2540.86   |   -3013.48   |     983      |  ✅ Success  
     6       |   -592.55    |    -10.27    |    -10.57    |    -8.38     |      12      |  ❌ Failure  
     7       |   -788.63    |    -28.73    |    -32.91    |    -41.68    |      29      |  ❌ Failure  
     8       |   -663.09    |    -16.61    |    -22.80    |    -28.89    |      17      |  ❌ Failure  
     9       |   -584.19    |   -324.02    |   -323.50    |   -333.60    |     123      |  ✅ Success  
     10      |   -7169.01   |   -1341.20   |   -1225.61   |   -1172.37   |     530      |  ❌ Failure  
  📊 统计 [Ep 10]: Actor Loss=49.3954, Critic Loss=96.8378, Alpha=0.4601, TD-error=4.6687, Beta=1.0000
     11      |   -2303.49   |   -633.57    |   -686.11    |   -682.73    |     254      |  ✅ Success  
     12      |   -1901.89   |   -679.69    |   -570.82    |   -508.97    |     257      |  ✅ Success  
     13      |   -4099.42   |   -886.59    |   -839.52    |   -897.53    |     397      |  ✅ Success  
     14      |   -1378.19   |   -161.20    |    -99.97    |   -138.59    |      77      |  ❌ Failure  
     15      |  -13840.92   |   -2480.36   |   -2974.19   |   -2784.78   |     1000     | ⏱️  Timeout 
     16      |  -13693.03   |   -2659.77   |   -2383.37   |   -2487.10   |     1000     | ⏱️  Timeout 
     17      |   -961.89    |    -39.28    |    -54.98    |    -87.44    |      46      |  ❌ Failure  
     18      |  -12287.40   |   -3112.93   |   -2677.02   |   -2270.99   |     1000     | ⏱️  Timeout 
     19      |   -1673.65   |   -242.80    |   -155.37    |   -274.91    |     100      |  ❌ Failure  
     20      |   -2582.01   |   -479.50    |   -308.66    |   -331.65    |     177      |  ❌ Failure  
  📊 统计 [Ep 20]: Actor Loss=49.3259, Critic Loss=170.4705, Alpha=0.1932, TD-error=5.9068, Beta=1.0000
     21      |  -15973.78   |   -3099.36   |   -2427.16   |   -3353.82   |     1000     | ⏱️  Timeout 
     22      |  -12939.50   |   -1438.60   |   -2013.77   |   -2522.38   |     1000     | ⏱️  Timeout 
     23      |   -9108.02   |   -2023.43   |   -1603.35   |   -1632.13   |     823      |  ✅ Success  
     24      |   -6558.00   |   -1688.08   |   -1638.52   |   -1915.66   |     803      |  ✅ Success  
     25      |  -13976.77   |   -2309.10   |   -1630.60   |   -1902.03   |     1000     | ⏱️  Timeout 
     26      |   -4489.28   |   -842.65    |   -752.03    |   -1012.98   |     477      |  ✅ Success  
     27      |   -2497.80   |   -729.19    |   -784.13    |   -765.49    |     337      |  ✅ Success  
     28      |   -506.73    |   -244.44    |   -305.23    |   -455.44    |     171      |  ✅ Success  
     29      |  -10021.54   |   -2363.39   |   -2057.85   |   -3024.83   |     1000     | ⏱️  Timeout 
     30      |   -1731.42   |   -498.59    |   -354.50    |   -428.58    |     219      |  ✅ Success  
