📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251030_105838/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
================================================================================
     0       |   -528.12    |    -3.83     |    -3.02     |      4       |  ❌ Failure  
     1       |   -601.78    |   -456.23    |   -341.06    |     167      |  ✅ Success  
     2       |  -11835.90   |   -2501.73   |   -2421.63   |     1000     | ⏱️  Timeout 
     3       |   -161.19    |   -306.95    |   -233.96    |     119      |  ✅ Success  
     4       |  -11974.22   |   -2936.41   |   -2130.38   |     956      |  ❌ Failure  
     5       |  -10077.83   |   -2101.06   |   -1459.69   |     1000     | ⏱️  Timeout 
     6       |   -879.95    |    -85.66    |    -95.89    |      41      |  ❌ Failure  
     7       |    73.26     |   -159.87    |   -213.09    |     117      |  ✅ Success  
     8       |    -15.60    |   -171.05    |   -194.83    |      95      |  ✅ Success  
     9       |   -1117.30   |   -192.85    |   -163.04    |      86      |  ❌ Failure  
     10      |   -3075.03   |   -1158.28   |   -874.12    |     393      |  ✅ Success  
  📊 统计 [Ep 10]: Actor Loss=42.3202, Critic Loss=150.0368, Alpha=0.4178, TD-error=7.8724, Beta=1.0000
     11      |   -5238.79   |   -1305.86   |   -1058.89   |     471      |  ✅ Success  
     12      |   -1540.27   |   -137.65    |   -172.83    |      90      |  ❌ Failure  
     13      |   -547.06    |    -5.90     |    -6.92     |      6       |  ❌ Failure  
     14      |   -4581.16   |   -977.79    |   -1219.46   |     483      |  ✅ Success  
     15      |  -11830.18   |   -1825.35   |   -2441.23   |     1000     | ⏱️  Timeout 
     16      |   -1506.83   |   -603.13    |   -336.37    |     215      |  ✅ Success  
     17      |  -12473.10   |   -2461.75   |   -2561.21   |     1000     | ⏱️  Timeout 
     18      |  -11187.35   |   -1862.50   |   -1821.64   |     1000     | ⏱️  Timeout 
     19      |   -9685.21   |   -1764.52   |   -1199.25   |     1000     | ⏱️  Timeout 
     20      |   -544.71    |    -6.36     |    -6.01     |      6       |  ❌ Failure  
  📊 统计 [Ep 20]: Actor Loss=47.8915, Critic Loss=49.1026, Alpha=0.2110, TD-error=4.1598, Beta=1.0000
     21      |   -2593.02   |   -429.92    |   -281.09    |     256      |  ❌ Failure  
     22      |   -5241.23   |   -916.41    |   -1335.91   |     659      |  ✅ Success  
     23      |   -679.31    |    -26.61    |    -18.48    |      23      |  ❌ Failure  
     24      |   -919.05    |    -73.94    |    -85.45    |      50      |  ❌ Failure  
     25      |  -10688.26   |   -1499.28   |   -1364.97   |     1000     | ⏱️  Timeout 
     26      |   -3097.12   |   -299.55    |   -533.53    |     299      |  ❌ Failure  
     27      |   -562.72    |    -16.55    |    -9.26     |      8       |  ❌ Failure  
     28      |  -10506.30   |   -1633.65   |   -1440.30   |     1000     | ⏱️  Timeout 
     29      |  -10102.38   |   -1713.51   |   -1861.66   |     877      |  ❌ Failure  
     30      |   -4333.26   |   -598.36    |   -539.67    |     425      |  ❌ Failure  
  📊 统计 [Ep 30]: Actor Loss=56.9500, Critic Loss=118.7262, Alpha=0.1464, TD-error=6.1193, Beta=1.0000
     31      |   -3349.64   |   -779.44    |   -708.40    |     556      |  ✅ Success  
     32      |   -4473.61   |   -554.32    |   -425.51    |     364      |  ❌ Failure  
     33      |   -580.53    |    -16.55    |    -10.07    |      10      |  ❌ Failure  
     34      |   -9387.01   |   -1067.72   |   -947.31    |     1000     | ⏱️  Timeout 
     35      |  -10680.12   |   -1167.46   |   -835.31    |     1000     | ⏱️  Timeout 
     36      |  -11457.92   |   -1471.90   |   -1328.47   |     1000     | ⏱️  Timeout 
     37      |  -11714.55   |   -1086.89   |   -904.15    |     1000     | ⏱️  Timeout 
     38      |   -5454.22   |   -621.94    |   -655.28    |     629      |  ✅ Success  
     39      |  -11966.84   |   -1444.75   |   -1435.45   |     1000     | ⏱️  Timeout 
     40      |  -11502.51   |   -952.04    |   -852.32    |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 40]: Actor Loss=58.2429, Critic Loss=97.5839, Alpha=0.0820, TD-error=5.2815, Beta=1.0000
     41      |  -10378.06   |   -878.31    |   -799.66    |     1000     | ⏱️  Timeout 
     42      |   -2396.87   |   -375.13    |   -226.50    |     411      |  ✅ Success  
