📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_203720/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |    Steps     |    Status   
     52      |   -573.65    |    -10.51    |    -8.62     |    -7.23     |      9       |  ❌ Failure  
     53      |   -558.16    |    -6.92     |    -7.34     |    -7.33     |      8       |  ❌ Failure  
     54      |  -10626.59   |   -2780.49   |   -1810.38   |   -3455.25   |     1000     | ⏱️  Timeout 
     55      |  -11537.48   |   -2437.95   |   -1300.36   |   -1843.98   |     1000     | ⏱️  Timeout 
     56      |  -14137.37   |   -2587.02   |   -2704.68   |   -1876.71   |     1000     | ⏱️  Timeout 
     57      |  -11072.43   |   -2165.00   |   -1981.01   |   -2172.46   |     1000     | ⏱️  Timeout 
     58      |   -2807.02   |   -427.07    |   -458.87    |   -292.02    |     226      |  ❌ Failure  
     59      |   -720.12    |    -31.77    |    -24.47    |    -39.90    |      23      |  ❌ Failure  
     60      |  -13981.80   |   -2242.57   |   -2433.05   |   -1670.09   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 60]: Actor Loss=37.1379, Critic Loss=93.9285, Alpha=0.0624, TD-error=3.8400, Beta=1.0000
     61      |   -805.80    |    -37.20    |    -42.10    |    -45.09    |      33      |  ❌ Failure  
     62      |   -5396.36   |   -969.36    |   -858.13    |   -752.47    |     516      |  ❌ Failure  
     63      |   -412.05    |   -239.31    |   -215.41    |   -235.97    |     125      |  ✅ Success  
     64      |   -550.37    |   -339.79    |   -353.49    |   -342.17    |     213      |  ✅ Success  
     65      |   -3112.00   |   -360.68    |   -365.74    |   -505.14    |     255      |  ❌ Failure  
