📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_123218/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
================================================================================
     0       |   -504.05    |    -0.61     |    -0.44     |      4       |  ❌ Failure  
     1       |    714.64    |   -155.07    |   -101.57    |     170      |  ✅ Success  
     2       |    898.60    |    -44.89    |    -50.17    |      79      |  ✅ Success  
     3       |   -317.81    |   -707.46    |   -665.67    |     695      |  ✅ Success  
     4       |   -506.80    |    -1.67     |    -0.84     |      5       |  ❌ Failure  
     5       |    971.78    |    -34.38    |    -8.37     |      30      |  ✅ Success  
     6       |   -558.29    |    -35.00    |    -42.73    |      42      |  ❌ Failure  
     7       |   -1902.86   |   -801.92    |   -567.60    |     1000     | ⏱️  Timeout 
     8       |   -2091.42   |   -960.87    |   -1100.37   |     1000     | ⏱️  Timeout 
     9       |   -2073.75   |   -863.64    |   -955.13    |     1000     | ⏱️  Timeout 
     10      |   -1992.46   |   -717.82    |   -613.79    |     676      |  ❌ Failure  
  📊 统计 [Ep 10]: Actor Loss=7.9784, Critic Loss=38.2606, Alpha=0.3832, TD-error=2.3784, Beta=1.0000
     11      |   -1677.87   |   -598.58    |   -408.90    |     604      |  ❌ Failure  
     12      |   -2077.56   |   -914.13    |   -1041.17   |     1000     | ⏱️  Timeout 
     13      |   -2584.59   |   -1014.60   |   -959.48    |     921      |  ❌ Failure  
     14      |   -884.37    |   -183.75    |   -139.96    |     174      |  ❌ Failure  
     15      |    678.76    |   -128.88    |   -143.68    |     188      |  ✅ Success  
     16      |   -529.06    |    -9.70     |    -5.57     |      22      |  ❌ Failure  
     17      |   -1899.87   |   -890.22    |   -1016.34   |     1000     | ⏱️  Timeout 
