📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_175136/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |  Follower3   |    Steps     |    Status   
================================================================================
     0       |   -514.40    |    -0.91     |    -1.87     |    -1.21     |    -0.93     |      6       |  ❌ Failure  
     1       |   -561.19    |    -4.08     |    -10.46    |    -2.57     |    -17.16    |      28      |  ❌ Failure  
     2       |    222.37    |   -157.50    |   -120.69    |   -148.47    |    -98.14    |     195      |  ✅ Success  
     3       |   -697.17    |    -44.40    |    -43.29    |    -44.83    |    -15.73    |      67      |  ❌ Failure  
     4       |   -515.83    |    -2.96     |    -1.18     |    -4.06     |    -0.55     |      6       |  ❌ Failure  
     5       |   -610.81    |    -26.77    |    -32.57    |    -17.05    |    -36.89    |      40      |  ❌ Failure  
     6       |    903.34    |    -6.97     |    -40.42    |    -16.80    |    -42.42    |      51      |  ✅ Success  
     7       |   -2763.89   |   -593.85    |   -511.70    |   -482.88    |   -661.67    |     574      |  ❌ Failure  
     8       |   -4614.40   |   -914.36    |   -797.92    |   -800.77    |   -853.35    |     1000     | ⏱️  Timeout 
     9       |   -4746.56   |   -1015.81   |   -608.56    |   -1010.81   |   -778.33    |     1000     | ⏱️  Timeout 
     10      |   -982.85    |   -105.63    |    -75.70    |    -83.89    |   -147.89    |     140      |  ❌ Failure  
  📊 统计 [Ep 10]: Actor Loss=14.4302, Critic Loss=105.6391, Alpha=0.4791, TD-error=3.9963, Beta=1.0000
     11      |   -4450.49   |   -656.65    |   -913.29    |   -879.31    |   -1060.24   |     1000     | ⏱️  Timeout 
     12      |   -4858.01   |   -886.97    |   -1058.21   |   -891.62    |   -983.26    |     1000     | ⏱️  Timeout 
     13      |   -5101.29   |   -735.85    |   -933.45    |   -997.28    |   -1042.16   |     1000     | ⏱️  Timeout 
     14      |   -4633.81   |   -822.82    |   -749.04    |   -1041.67   |   -843.96    |     1000     | ⏱️  Timeout 
     15      |   -4173.46   |   -810.19    |   -559.18    |   -817.50    |   -867.88    |     1000     | ⏱️  Timeout 
     16      |   -4454.17   |   -821.14    |   -789.94    |   -639.76    |   -979.59    |     1000     | ⏱️  Timeout 
     17      |   -4614.76   |   -757.87    |   -595.21    |   -755.05    |   -853.16    |     1000     | ⏱️  Timeout 
     18      |   -4557.63   |   -807.10    |   -828.22    |   -609.23    |   -1084.03   |     1000     | ⏱️  Timeout 
     19      |   -4400.13   |   -873.00    |   -705.06    |   -779.45    |   -830.08    |     1000     | ⏱️  Timeout 
     20      |    720.21    |    -37.37    |    -85.46    |   -100.52    |    -59.50    |     100      |  ✅ Success  
  📊 统计 [Ep 20]: Actor Loss=11.5320, Critic Loss=68.2753, Alpha=0.0660, TD-error=2.8526, Beta=1.0000
     21      |   -4610.71   |   -760.06    |   -773.65    |   -796.03    |   -710.43    |     1000     | ⏱️  Timeout 
     22      |   -3865.51   |   -845.58    |   -889.41    |   -641.88    |   -609.04    |     1000     | ⏱️  Timeout 
     23      |   -3316.54   |   -666.79    |   -330.90    |   -602.43    |   -411.87    |     1000     | ⏱️  Timeout 
     24      |   -3874.16   |   -548.98    |   -740.21    |   -723.84    |   -350.53    |     1000     | ⏱️  Timeout 
     25      |   -3365.10   |   -419.25    |   -824.54    |   -545.00    |   -1037.03   |     1000     | ⏱️  Timeout 
     26      |   -2782.31   |   -526.71    |   -348.11    |   -658.92    |   -498.75    |     1000     | ⏱️  Timeout 
     27      |   -2773.21   |   -300.89    |   -359.49    |   -518.29    |   -359.90    |     1000     | ⏱️  Timeout 
     28      |   -2918.30   |   -444.55    |   -587.51    |   -354.63    |   -378.95    |     1000     | ⏱️  Timeout 
     29      |   -2882.22   |   -378.39    |   -195.72    |   -354.05    |   -844.40    |     1000     | ⏱️  Timeout 
