
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 3 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/training_20251025_160828.log
============================================================

Episode  45, Steps: 1000, Total: -10888.42, Leader: -5671.28, [F0: -1188.08, F1: -2076.73, F2: -1952.33] - ⏱ timeout
Episode  46, Steps:  471, Total: -3349.42, Leader: -2411.39, [F0: -322.99, F1: -290.04, F2: -324.99] - ✗ failure
Episode  47, Steps: 1000, Total: -13942.31, Leader: -7933.33, [F0: -1458.65, F1: -1821.26, F2: -2729.07] - ⏱ timeout
Episode  48, Steps:  909, Total: -7915.10, Leader: -4237.22, [F0: -858.41, F1: -1271.76, F2: -1547.71] - ✗ failure
Episode  49, Steps:  192, Total: -1416.16, Leader: -1025.67, [F0: -90.31, F1: -82.92, F2: -217.26] - ✗ failure
Episode  50, Steps:   35, Total:  846.73, Leader:  898.06, [F0: -20.34, F1: -14.40, F2: -16.59] - ✓ success
Episode  51, Steps:   50, Total:  717.85, Leader:  830.76, [F0: -23.11, F1: -33.11, F2: -56.69] - ✓ success
Episode  52, Steps:   40, Total:  772.27, Leader:  863.10, [F0: -21.33, F1: -45.06, F2: -24.44] - ✓ success
Episode  53, Steps:  407, Total: -1311.11, Leader: -400.34, [F0: -219.01, F1: -252.50, F2: -439.26] - ✓ success
Episode  54, Steps: 1000, Total: -15781.28, Leader: -11144.16, [F0: -1016.01, F1: -1686.82, F2: -1934.29] - ⏱ timeout
Episode  55, Steps: 1000, Total: -16904.95, Leader: -12544.86, [F0: -973.80, F1: -1800.01, F2: -1586.27] - ⏱ timeout
Episode  56, Steps:   27, Total:  918.62, Leader:  936.99, [F0: -8.10, F1: -10.21, F2: -0.06] - ✓ success
Episode  57, Steps: 1000, Total: -13586.98, Leader: -8776.54, [F0: -1637.45, F1: -1280.09, F2: -1892.89] - ⏱ timeout
Episode  58, Steps:  384, Total: -2218.08, Leader: -918.79, [F0: -382.52, F1: -326.06, F2: -590.71] - ✓ success
Episode  59, Steps:   39, Total:  802.46, Leader:  898.03, [F0: -7.38, F1: -29.42, F2: -58.77] - ✓ success
Episode  60, Steps:   71, Total:  698.19, Leader:  841.74, [F0: -31.26, F1: -30.60, F2: -81.69] - ✓ success
Episode  61, Steps:   37, Total:  883.20, Leader:  925.37, [F0: 6.27, F1: -15.65, F2: -32.78] - ✓ success
Episode  62, Steps:   33, Total:  830.99, Leader:  907.65, [F0: -23.13, F1: -17.05, F2: -36.47] - ✓ success
Episode  63, Steps: 1000, Total: -9185.42, Leader: -6061.08, [F0: -987.53, F1: -890.43, F2: -1246.38] - ⏱ timeout
Episode  64, Steps:    7, Total: -540.55, Leader: -527.14, [F0: -1.36, F1: -6.31, F2: -5.74] - ✗ failure
Episode  65, Steps:   36, Total:  822.42, Leader:  910.15, [F0: -13.28, F1: -17.45, F2: -56.99] - ✓ success
Episode  66, Steps:  122, Total:  389.58, Leader:  632.39, [F0: -40.91, F1: -52.08, F2: -149.82] - ✓ success
Episode  67, Steps:  114, Total:  398.47, Leader:  633.93, [F0: -49.44, F1: -66.33, F2: -119.69] - ✓ success
Episode  68, Steps:   33, Total:  816.11, Leader:  895.70, [F0: -17.36, F1: -33.34, F2: -28.89] - ✓ success
Episode  69, Steps:   45, Total:  681.36, Leader:  819.40, [F0: -49.87, F1: -34.41, F2: -53.77] - ✓ success
Episode  70, Steps:   42, Total:  862.03, Leader:  914.01, [F0: -7.26, F1: -7.50, F2: -37.22] - ✓ success
Episode  71, Steps:   55, Total:  682.11, Leader:  855.52, [F0: -67.63, F1: -38.01, F2: -67.75] - ✓ success
Episode  72, Steps:  593, Total: -8127.34, Leader: -5743.17, [F0: -836.75, F1: -478.63, F2: -1068.79] - ✓ success
Episode  73, Steps:   32, Total:  836.52, Leader:  904.59, [F0: -10.08, F1: -15.79, F2: -42.19] - ✓ success
Episode  74, Steps:   24, Total:  906.53, Leader:  939.59, [F0: -10.43, F1: -9.05, F2: -13.60] - ✓ success
Episode  75, Steps:   39, Total:  779.05, Leader:  886.10, [F0: -40.41, F1: -27.30, F2: -39.35] - ✓ success
Episode  76, Steps:   28, Total:  914.71, Leader:  930.43, [F0: -8.26, F1: -13.87, F2: 6.41] - ✓ success
Episode  77, Steps:  105, Total:  344.24, Leader:  550.76, [F0: -70.21, F1: -59.02, F2: -77.29] - ✓ success
Episode  78, Steps:   24, Total:  905.38, Leader:  938.29, [F0: -11.52, F1: -9.90, F2: -11.48] - ✓ success
Episode  79, Steps:   36, Total: -762.84, Leader: -649.39, [F0: -53.74, F1: -39.86, F2: -19.86] - ✗ failure
Episode  80, Steps:  139, Total: -124.55, Leader:  290.08, [F0: -99.41, F1: -96.06, F2: -219.16] - ✓ success
Episode  81, Steps:   93, Total:  -11.05, Leader:  276.99, [F0: -105.73, F1: -65.46, F2: -116.85] - ✓ success
Episode  82, Steps:    6, Total: -537.67, Leader: -525.38, [F0: -3.28, F1: -4.32, F2: -4.69] - ✗ failure
Episode  83, Steps:   47, Total:  715.60, Leader:  831.57, [F0: -33.48, F1: -46.16, F2: -36.33] - ✓ success
Episode  84, Steps:   56, Total:  804.64, Leader:  871.70, [F0: -15.87, F1: -26.71, F2: -24.48] - ✓ success
Episode  85, Steps:   27, Total:  893.31, Leader:  940.30, [F0: 5.55, F1: 1.73, F2: -54.27] - ✓ success
Episode  86, Steps:   74, Total:  514.62, Leader:  689.50, [F0: -46.71, F1: -69.55, F2: -58.62] - ✓ success
Episode  87, Steps:   66, Total:  646.99, Leader:  743.85, [F0: -38.66, F1: -28.59, F2: -29.62] - ✓ success
Episode  88, Steps:  144, Total:  -40.62, Leader:  270.65, [F0: -93.82, F1: -103.61, F2: -113.84] - ✓ success
Episode  89, Steps:   45, Total:  640.81, Leader:  798.58, [F0: -16.90, F1: -107.89, F2: -32.97] - ✓ success
Episode  90, Steps:   20, Total:  925.36, Leader:  951.04, [F0: -9.71, F1: -2.44, F2: -13.53] - ✓ success
Episode  91, Steps:  353, Total: -868.47, Leader:  -31.74, [F0: -179.95, F1: -170.48, F2: -486.31] - ✓ success
Episode  92, Steps:   25, Total:  901.85, Leader:  935.65, [F0: -8.01, F1: -11.74, F2: -14.05] - ✓ success
Episode  93, Steps:   20, Total:  923.56, Leader:  950.54, [F0: -4.64, F1: -12.69, F2: -9.64] - ✓ success
Episode  94, Steps:   38, Total:  796.71, Leader:  873.81, [F0: -14.15, F1: -24.02, F2: -38.93] - ✓ success
Episode  95, Steps:   38, Total:  773.69, Leader:  884.03, [F0: -50.74, F1: -21.87, F2: -37.74] - ✓ success
Episode  96, Steps:    8, Total: -542.32, Leader: -531.11, [F0: -2.10, F1: -5.19, F2: -3.92] - ✗ failure
Episode  97, Steps:  146, Total:  242.90, Leader:  527.04, [F0: -67.80, F1: -69.08, F2: -147.26] - ✓ success
