📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_211015/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |  Follower3   |    Steps     |    Status   
     46      |   -4509.93   |   -964.38    |   -904.36    |   -641.66    |   -624.31    |     456      |  ✅ Success  
     47      |   -236.19    |   -285.36    |   -177.50    |   -129.23    |   -214.59    |     123      |  ✅ Success  
     48      |   -6963.88   |   -1410.62   |   -1150.51   |   -1148.62   |   -1074.37   |     683      |  ✅ Success  
     49      |   -2771.86   |   -870.41    |   -369.19    |   -748.09    |   -580.56    |     315      |  ✅ Success  
     50      |   -1603.61   |   -517.00    |   -292.61    |   -328.35    |   -450.22    |     264      |  ✅ Success  
  📊 统计 [Ep 50]: Actor Loss=41.6312, Critic Loss=114.1448, Alpha=0.0592, TD-error=4.4069, Beta=1.0000
     51      |   -5746.38   |   -966.73    |   -818.48    |   -691.48    |   -875.42    |     470      |  ❌ Failure  
     52      |   -1022.97   |    -73.48    |    -75.04    |    -90.22    |    -62.47    |      44      |  ❌ Failure  
     53      |   -4545.01   |   -770.48    |   -431.73    |   -422.06    |   -601.48    |     321      |  ❌ Failure  
     54      |   -332.78    |   -194.17    |   -184.60    |   -267.29    |   -221.47    |     139      |  ✅ Success  
     55      |  -12539.99   |   -1587.52   |   -2012.89   |   -1601.48   |   -1874.66   |     1000     | ⏱️  Timeout 
     56      |   -541.29    |    -5.30     |    -5.51     |    -6.21     |    -4.25     |      5       |  ❌ Failure  
     57      |   -2985.26   |   -632.28    |   -595.61    |   -1100.68   |   -523.58    |     390      |  ✅ Success  
     58      |   -1644.71   |   -196.40    |   -153.15    |   -128.79    |   -146.78    |     125      |  ❌ Failure  
     59      |   -668.57    |    -20.07    |    -24.43    |    -25.12    |    -23.58    |      17      |  ❌ Failure  
     60      |   -4094.34   |   -1112.66   |   -910.87    |   -982.38    |   -750.01    |     511      |  ✅ Success  
  📊 统计 [Ep 60]: Actor Loss=46.3553, Critic Loss=132.7343, Alpha=0.0893, TD-error=4.4001, Beta=1.0000
     61      |   -1961.69   |   -253.33    |   -170.69    |   -184.55    |   -153.04    |     138      |  ❌ Failure  
     62      |  -10396.65   |   -2054.94   |   -1713.59   |   -2252.90   |   -1672.89   |     1000     | ⏱️  Timeout 
     63      |  -12989.94   |   -1940.82   |   -2828.86   |   -2186.94   |   -2467.33   |     1000     | ⏱️  Timeout 
     64      |  -11048.61   |   -1848.94   |   -1773.57   |   -2214.64   |   -1694.91   |     1000     | ⏱️  Timeout 
     65      |  -13543.27   |   -1678.14   |   -2595.51   |   -1373.73   |   -2910.47   |     1000     | ⏱️  Timeout 
     66      |  -11571.78   |   -1679.27   |   -1901.21   |   -1766.53   |   -1904.47   |     1000     | ⏱️  Timeout 
     67      |   -3552.73   |   -803.79    |   -1116.12   |   -707.79    |   -681.93    |     489      |  ✅ Success  
     68      |   -3357.90   |   -733.27    |   -594.35    |   -666.65    |   -718.88    |     392      |  ✅ Success  
     69      |   -8128.19   |   -967.23    |   -974.27    |   -936.98    |   -1236.19   |     648      |  ❌ Failure  
     70      |   -1511.04   |   -141.73    |   -142.53    |   -130.75    |   -127.35    |      93      |  ❌ Failure  
  📊 统计 [Ep 70]: Actor Loss=43.5361, Critic Loss=43.2433, Alpha=0.0559, TD-error=2.3903, Beta=1.0000
     71      |  -11146.58   |   -1424.08   |   -1424.54   |   -1240.42   |   -1945.92   |     972      |  ❌ Failure  
     72      |   -598.26    |    -8.25     |    -14.35    |    -11.00    |    -12.30    |      11      |  ❌ Failure  
     73      |   -6319.67   |   -1206.96   |   -1558.23   |   -1307.97   |   -1688.20   |     735      |  ✅ Success  
     74      |  -15017.04   |   -1932.35   |   -1456.76   |   -2141.61   |   -2141.86   |     1000     | ⏱️  Timeout 
     75      |  -13101.43   |   -2475.72   |   -1541.88   |   -1577.13   |   -1795.12   |     1000     | ⏱️  Timeout 
     76      |  -10544.12   |   -1467.86   |   -1637.04   |   -1124.57   |   -1239.30   |     1000     | ⏱️  Timeout 
     77      |  -13145.86   |   -1481.61   |   -1598.05   |   -1722.32   |   -1439.01   |     1000     | ⏱️  Timeout 
     78      |  -14328.60   |   -2222.30   |   -1655.89   |   -1882.01   |   -1754.42   |     1000     | ⏱️  Timeout 
     79      |   -3588.16   |   -549.84    |   -535.26    |   -444.07    |   -627.45    |     425      |  ✅ Success  
     80      |   -4833.03   |   -743.46    |   -494.11    |   -493.30    |   -566.06    |     407      |  ❌ Failure  
  📊 统计 [Ep 80]: Actor Loss=41.5556, Critic Loss=28.9593, Alpha=0.0473, TD-error=1.8179, Beta=1.0000
     81      |   -4444.55   |   -528.18    |   -606.40    |   -529.48    |   -522.55    |     380      |  ❌ Failure  
     82      |   -543.24    |    -4.05     |    -6.28     |    -5.01     |    -5.73     |      5       |  ❌ Failure  
     83      |   -6082.38   |   -1064.72   |   -993.86    |   -895.69    |   -1181.43   |     752      |  ✅ Success  
     84      |  -12265.66   |   -1703.93   |   -1619.54   |   -1501.76   |   -2016.90   |     1000     | ⏱️  Timeout 
     85      |   -9945.38   |   -1583.90   |   -1361.90   |   -1340.31   |   -1416.20   |     1000     | ⏱️  Timeout 
     86      |   -9737.59   |   -1230.85   |   -1646.29   |   -1237.01   |   -1549.82   |     1000     | ⏱️  Timeout 
     87      |  -10419.73   |   -1398.81   |   -1411.74   |   -1120.68   |   -1179.25   |     1000     | ⏱️  Timeout 
     88      |   -542.40    |    -3.93     |    -5.92     |    -4.99     |    -5.50     |      5       |  ❌ Failure  
     89      |  -10222.27   |   -1273.25   |   -1179.47   |   -1365.46   |   -1396.39   |     897      |  ❌ Failure  
     90      |  -10201.41   |   -1475.07   |   -1213.19   |   -1428.19   |   -1199.12   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 90]: Actor Loss=39.5619, Critic Loss=25.1665, Alpha=0.0389, TD-error=1.7231, Beta=1.0000
     91      |  -10093.39   |   -1316.24   |   -1085.46   |   -1532.78   |   -1399.28   |     1000     | ⏱️  Timeout 
     92      |  -11990.59   |   -2089.83   |   -1932.49   |   -2344.43   |   -1977.24   |     1000     | ⏱️  Timeout 
     93      |  -10164.88   |   -1329.44   |   -3708.61   |   -1224.98   |   -1295.71   |     1000     | ⏱️  Timeout 
     94      |  -11552.15   |   -1579.12   |   -2099.60   |   -1817.61   |   -1637.12   |     1000     | ⏱️  Timeout 
     95      |  -11877.21   |   -1585.32   |   -2030.06   |   -2361.90   |   -1559.59   |     1000     | ⏱️  Timeout 
     96      |   -3735.90   |   -435.77    |   -462.51    |   -284.87    |   -419.59    |     309      |  ❌ Failure  
     97      |   -6928.28   |   -936.53    |   -867.23    |   -598.82    |   -925.59    |     649      |  ❌ Failure  
     98      |   -4515.00   |   -518.78    |   -448.13    |   -859.93    |   -300.85    |     372      |  ❌ Failure  
     99      |   -551.04    |    -4.35     |    -7.05     |    -5.41     |    -7.33     |      7       |  ❌ Failure  
    100      |   -3305.10   |   -382.28    |   -397.34    |   -362.55    |   -319.90    |     294      |  ❌ Failure  
  📊 统计 [Ep 100]: Actor Loss=37.5867, Critic Loss=22.1327, Alpha=0.0385, TD-error=1.5385, Beta=1.0000
    101      |   -9166.29   |   -1322.48   |   -1130.85   |   -929.00    |   -1542.85   |     1000     | ⏱️  Timeout 
    102      |  -10622.21   |   -1389.49   |   -1463.79   |   -1726.67   |   -1776.88   |     1000     | ⏱️  Timeout 
    103      |  -10098.29   |   -1824.59   |   -1592.95   |   -1723.31   |   -1828.99   |     1000     | ⏱️  Timeout 
    104      |   -8569.81   |   -1224.66   |   -1201.21   |   -907.46    |   -1071.88   |     1000     | ⏱️  Timeout 
    105      |  -11191.88   |   -2198.68   |   -1616.90   |   -2126.46   |   -1820.05   |     1000     | ⏱️  Timeout 
    106      |   -8657.77   |   -1200.69   |   -1300.08   |   -1044.70   |   -1195.13   |     1000     | ⏱️  Timeout 
    107      |   -1253.25   |   -105.95    |    -91.88    |    -92.68    |    -65.04    |      80      |  ❌ Failure  
    108      |   -2343.73   |   -292.81    |   -243.04    |   -287.87    |   -218.08    |     223      |  ❌ Failure  
    109      |   -895.77    |    -44.10    |    -41.89    |    -39.35    |    -46.97    |      42      |  ❌ Failure  
    110      |   -6642.38   |   -1651.88   |   -1059.51   |   -1255.06   |   -1406.59   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 110]: Actor Loss=38.2319, Critic Loss=19.4806, Alpha=0.0464, TD-error=1.6117, Beta=1.0000
    111      |   -822.70    |   -236.47    |   -311.44    |   -240.08    |   -228.63    |     187      |  ✅ Success  
    112      |   -910.06    |    -56.43    |    -62.16    |    -36.20    |    -52.61    |      44      |  ❌ Failure  
    113      |   -2239.96   |   -238.02    |   -229.07    |   -159.60    |   -196.38    |     185      |  ❌ Failure  
    114      |   -3736.67   |   -539.12    |   -367.30    |   -254.40    |   -325.73    |     327      |  ❌ Failure  
    115      |   -859.38    |   -227.73    |   -199.96    |   -218.16    |   -273.41    |     204      |  ✅ Success  
    116      |   -1411.53   |   -426.43    |   -415.39    |   -345.19    |   -711.14    |     355      |  ✅ Success  
    117      |   -1063.49   |   -274.04    |   -257.85    |   -308.93    |   -277.88    |     219      |  ✅ Success  
    118      |   -591.93    |    -11.52    |    -8.94     |    -9.70     |    -11.92    |      11      |  ❌ Failure  
    119      |    247.99    |    -94.85    |   -133.87    |   -137.50    |   -115.20    |      85      |  ✅ Success  
    120      |   -615.72    |    -13.63    |    -11.22    |    -13.87    |    -12.11    |      13      |  ❌ Failure  
  📊 统计 [Ep 120]: Actor Loss=38.1335, Critic Loss=31.3274, Alpha=0.0563, TD-error=2.1258, Beta=1.0000
    121      |   -2984.23   |   -287.36    |   -306.13    |   -183.72    |   -290.98    |     248      |  ❌ Failure  
    122      |   -574.88    |    -7.09     |    -6.72     |    -10.66    |    -7.97     |      9       |  ❌ Failure  
    123      |  -10035.48   |   -1299.48   |   -1451.52   |   -1263.60   |   -1861.57   |     1000     | ⏱️  Timeout 
    124      |   -9220.56   |   -1389.62   |   -1360.02   |   -819.70    |   -966.46    |     1000     | ⏱️  Timeout 
    125      |  -11122.48   |   -1386.75   |   -988.21    |   -1042.57   |   -919.24    |     1000     | ⏱️  Timeout 
    126      |   -9318.19   |   -2188.71   |   -1726.12   |   -1461.40   |   -1715.39   |     1000     | ⏱️  Timeout 
    127      |   -8960.87   |   -1111.44   |   -1009.13   |   -773.00    |   -957.65    |     1000     | ⏱️  Timeout 
    128      |  -10595.34   |   -1426.58   |   -1189.82   |   -851.38    |   -1091.49   |     1000     | ⏱️  Timeout 
    129      |   -752.73    |    -25.74    |    -33.17    |    -37.49    |    -35.39    |      27      |  ❌ Failure  
    130      |  -10447.36   |   -1195.92   |   -1340.08   |   -1019.70   |   -1192.46   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 130]: Actor Loss=36.7934, Critic Loss=27.7924, Alpha=0.0790, TD-error=2.4139, Beta=1.0000
    131      |  -14449.40   |   -1622.32   |   -1636.80   |   -1306.60   |   -1958.48   |     1000     | ⏱️  Timeout 
    132      |  -10562.52   |   -1340.67   |   -1220.09   |   -961.80    |   -907.91    |     1000     | ⏱️  Timeout 
    133      |   -9072.35   |   -1225.58   |   -1035.16   |   -833.79    |   -1067.55   |     1000     | ⏱️  Timeout 
    134      |  -10274.45   |   -1299.19   |   -1149.85   |   -798.98    |   -912.03    |     1000     | ⏱️  Timeout 
    135      |   -2378.08   |   -255.03    |   -253.38    |   -180.13    |   -164.69    |     207      |  ❌ Failure  
    136      |  -10062.94   |   -1523.74   |   -1444.59   |   -1337.62   |   -2555.23   |     1000     | ⏱️  Timeout 
    137      |  -14863.89   |   -1394.88   |   -1375.36   |   -2180.23   |   -2302.26   |     1000     | ⏱️  Timeout 
    138      |  -14583.42   |   -1410.50   |   -1791.78   |   -1681.58   |   -1577.53   |     1000     | ⏱️  Timeout 
    139      |  -11518.04   |   -1368.47   |   -1662.85   |   -2299.02   |   -1983.64   |     1000     | ⏱️  Timeout 
    140      |   -9743.47   |   -1394.48   |   -1247.01   |   -1216.08   |   -1312.40   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 140]: Actor Loss=34.9633, Critic Loss=11.4454, Alpha=0.0548, TD-error=1.4926, Beta=1.0000
    141      |   -4130.37   |   -447.64    |   -435.69    |   -324.65    |   -430.25    |     391      |  ❌ Failure  
    142      |   -6782.10   |   -809.84    |   -744.59    |   -528.52    |   -720.83    |     649      |  ❌ Failure  
    143      |   -742.67    |    -33.87    |    -38.58    |    -34.33    |    -27.73    |      28      |  ❌ Failure  
    144      |   -1362.18   |   -123.36    |    -98.30    |    -69.72    |    -88.31    |     100      |  ❌ Failure  
    145      |   -5021.12   |   -621.95    |   -662.35    |   -469.44    |   -571.89    |     503      |  ❌ Failure  
    146      |   -3512.24   |   -392.31    |   -370.23    |   -297.12    |   -367.99    |     353      |  ❌ Failure  
    147      |   -1572.84   |   -157.44    |   -123.44    |   -109.50    |   -103.72    |     115      |  ❌ Failure  
    148      |   -9023.05   |   -1138.60   |   -1091.94   |   -846.72    |   -1003.07   |     1000     | ⏱️  Timeout 
    149      |   -9179.79   |   -1266.10   |   -1111.28   |   -1117.60   |   -976.57    |     1000     | ⏱️  Timeout 
    150      |   -7567.19   |   -823.71    |   -829.53    |   -687.10    |   -829.13    |     755      |  ❌ Failure  
  📊 统计 [Ep 150]: Actor Loss=37.5263, Critic Loss=9.3936, Alpha=0.0607, TD-error=1.4126, Beta=1.0000
    151      |   -9182.27   |   -1156.06   |   -1279.13   |   -827.54    |   -1013.02   |     1000     | ⏱️  Timeout 
    152      |   -9565.01   |   -1304.31   |   -1160.65   |   -834.85    |   -1281.90   |     1000     | ⏱️  Timeout 
    153      |   -3622.73   |   -404.33    |   -455.29    |   -262.04    |   -282.56    |     340      |  ❌ Failure  
    154      |   -9747.38   |   -1191.35   |   -1137.35   |   -821.31    |   -1181.68   |     1000     | ⏱️  Timeout 
    155      |  -10525.06   |   -1364.85   |   -1311.34   |   -1253.70   |   -1137.50   |     1000     | ⏱️  Timeout 
    156      |   -9649.87   |   -1187.76   |   -1048.77   |   -816.29    |   -1187.52   |     1000     | ⏱️  Timeout 
    157      |  -10842.43   |   -1946.79   |   -1816.75   |   -1915.63   |   -2298.27   |     1000     | ⏱️  Timeout 
    158      |   -9488.22   |   -1182.46   |   -1074.81   |   -1141.33   |   -905.34    |     1000     | ⏱️  Timeout 
    159      |   -9704.98   |   -1288.38   |   -1250.96   |   -840.27    |   -818.47    |     1000     | ⏱️  Timeout 
    160      |   -9250.70   |   -1069.02   |   -1054.48   |   -2445.46   |   -1130.58   |     664      |  ❌ Failure  
  📊 统计 [Ep 160]: Actor Loss=36.5017, Critic Loss=6.0478, Alpha=0.0566, TD-error=1.1896, Beta=1.0000
    161      |   -8400.68   |   -1049.47   |   -1040.28   |   -795.26    |   -856.73    |     1000     | ⏱️  Timeout 
    162      |   -8761.35   |   -1110.69   |   -1095.69   |   -781.63    |   -733.30    |     1000     | ⏱️  Timeout 
    163      |   -9417.60   |   -1309.22   |   -1285.22   |   -834.30    |   -771.38    |     1000     | ⏱️  Timeout 
    164      |   -9166.69   |   -1227.92   |   -1272.85   |   -757.47    |   -827.90    |     1000     | ⏱️  Timeout 
    165      |   -2788.22   |   -277.27    |   -293.00    |   -209.66    |   -198.12    |     266      |  ❌ Failure  
