📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_233830/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |  Follower2   |  Follower3   |    Steps     |    Status   
================================================================================
     0       |   -520.40    |    -6.91     |    -7.87     |    -7.21     |    -6.93     |      6       |  ❌ Failure  
     1       |   -589.19    |    -32.08    |    -38.46    |    -30.57    |    -45.16    |      28      |  ❌ Failure  
     2       |    91.90     |   -330.00    |   -310.39    |   -326.74    |   -271.77    |     182      |  ✅ Success  
     3       |   -5463.58   |   -1980.35   |   -1842.08   |   -1746.15   |   -1622.11   |     1000     | ⏱️  Timeout 
     4       |   -521.53    |    -6.89     |    -7.13     |    -8.98     |    -6.50     |      6       |  ❌ Failure  
     5       |   -500.19    |   -569.87    |   -507.56    |   -441.88    |   -570.67    |     292      |  ✅ Success  
     6       |   -1464.75   |   -954.00    |   -989.07    |   -798.60    |   -976.93    |     468      |  ✅ Success  
     7       |   -422.50    |   -688.08    |   -543.48    |   -716.11    |   -580.78    |     331      |  ✅ Success  
     8       |   -559.13    |   -627.24    |   -651.66    |   -778.85    |   -610.58    |     362      |  ✅ Success  
     9       |    -12.47    |   -536.00    |   -451.33    |   -483.71    |   -578.61    |     283      |  ✅ Success  
     10      |   -4420.79   |   -1996.36   |   -2046.15   |   -1791.88   |   -1739.77   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 10]: Actor Loss=17.7096, Critic Loss=19.2458, Alpha=0.4333, TD-error=1.3721, Beta=1.0000
     11      |   -565.79    |    -22.64    |    -22.41    |    -26.11    |    -30.19    |      18      |  ❌ Failure  
     12      |   -5665.07   |   -1996.78   |   -1930.47   |   -1851.41   |   -2117.61   |     1000     | ⏱️  Timeout 
     13      |   -554.30    |    -17.23    |    -17.81    |    -29.19    |    -20.68    |      15      |  ❌ Failure  
     14      |   -4220.73   |   -1947.22   |   -1790.33   |   -1819.20   |   -1620.64   |     1000     | ⏱️  Timeout 
     15      |   -529.02    |    -9.19     |    -9.12     |    -14.84    |    -9.27     |      8       |  ❌ Failure  
     16      |   -518.94    |    -6.79     |    -6.86     |    -9.01     |    -6.52     |      6       |  ❌ Failure  
     17      |   -5269.85   |   -1985.76   |   -1705.09   |   -1722.64   |   -2101.62   |     1000     | ⏱️  Timeout 
     18      |   -6048.90   |   -2076.76   |   -1827.41   |   -1895.99   |   -1946.65   |     1000     | ⏱️  Timeout 
     19      |   -5942.44   |   -1849.25   |   -2001.43   |   -1903.92   |   -1945.82   |     1000     | ⏱️  Timeout 
     20      |   -5588.62   |   -1837.43   |   -1638.20   |   -1770.46   |   -1726.11   |     1000     | ⏱️  Timeout 
  📊 统计 [Ep 20]: Actor Loss=36.4451, Critic Loss=54.4523, Alpha=0.1320, TD-error=2.7851, Beta=1.0000
     21      |   -5722.68   |   -1776.54   |   -2056.57   |   -1822.51   |   -1751.75   |     1000     | ⏱️  Timeout 
     22      |   -2807.55   |   -685.44    |   -774.03    |   -709.71    |   -684.60    |     400      |  ❌ Failure  
     23      |   -1126.49   |   -229.74    |   -183.47    |   -226.74    |   -177.34    |     141      |  ❌ Failure  
