📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_201704/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
================================================================================
     0       |   -529.27    |    -5.05     |    -4.16     |      4       |  ❌ Failure  
     1       |   -742.28    |   -581.45    |   -605.56    |     174      |  ✅ Success  
     2       |   -566.99    |    -9.88     |    -12.16    |      9       |  ❌ Failure  
     3       |   -2981.42   |   -1469.09   |   -1295.09   |     406      |  ✅ Success  
     4       |   -540.07    |    -5.90     |    -6.63     |      5       |  ❌ Failure  
     5       |   -5981.73   |   -1199.95   |   -1130.11   |     403      |  ❌ Failure  
     6       |  -14941.50   |   -3534.16   |   -4162.51   |     1000     | ⏱️  Timeout 
     7       |   -1374.99   |   -680.42    |   -794.86    |     321      |  ✅ Success  
     8       |   -5722.49   |   -1790.03   |   -1806.60   |     577      |  ✅ Success  
     9       |   -1483.25   |   -267.05    |   -275.71    |      95      |  ❌ Failure  
     10      |   -5093.20   |   -1106.99   |   -1190.09   |     505      |  ✅ Success  
  📊 统计 [Ep 10]: Actor Loss=56.8559, Critic Loss=75.4451, Alpha=0.4778, TD-error=4.9019, Beta=1.0000
     11      |   -1256.15   |   -261.10    |   -155.50    |      89      |  ❌ Failure  
     12      |  -10012.13   |   -2664.68   |   -2903.21   |     1000     | ⏱️  Timeout 
     13      |  -12334.74   |   -3528.99   |   -2287.61   |     1000     | ⏱️  Timeout 
     14      |   -8365.44   |   -2104.79   |   -2170.99   |     773      |  ✅ Success  
     15      |   -3443.79   |   -721.14    |   -606.73    |     278      |  ❌ Failure  
     16      |   -6050.31   |   -1587.40   |   -1854.03   |     600      |  ✅ Success  
     17      |   -7311.22   |   -2438.61   |   -2346.60   |     807      |  ✅ Success  
     18      |   -6249.13   |   -2071.23   |   -2571.06   |     804      |  ✅ Success  
     19      |   -7188.96   |   -2259.90   |   -1990.49   |     1000     | ⏱️  Timeout 
     20      |    425.41    |   -122.00    |   -136.87    |      78      |  ✅ Success  
  📊 统计 [Ep 20]: Actor Loss=31.4972, Critic Loss=175.5989, Alpha=0.2163, TD-error=9.4818, Beta=1.0000
     21      |   -1294.56   |   -703.12    |   -759.95    |     314      |  ✅ Success  
     22      |   -2329.24   |   -947.83    |   -1023.25   |     418      |  ✅ Success  
     23      |   -580.16    |    -11.50    |    -13.97    |      10      |  ❌ Failure  
     24      |   -2409.30   |   -1005.97   |   -1065.16   |     423      |  ✅ Success  
     25      |   -5519.20   |   -1062.70   |   -1343.40   |     411      |  ❌ Failure  
     26      |   -8442.10   |   -2335.04   |   -2425.05   |     983      |  ✅ Success  
     27      |   -231.43    |   -514.58    |   -253.33    |     166      |  ✅ Success  
     28      |   -818.13    |    -39.49    |    -47.17    |      42      |  ❌ Failure  
     29      |    510.09    |   -141.03    |    -70.51    |      58      |  ✅ Success  
     30      |   -8864.54   |   -3313.74   |   -2014.82   |     955      |  ✅ Success  
  📊 统计 [Ep 30]: Actor Loss=36.5176, Critic Loss=219.9980, Alpha=0.1468, TD-error=9.6466, Beta=1.0000
     31      |   -1777.80   |   -932.76    |   -731.80    |     325      |  ✅ Success  
     32      |   -540.97    |    -6.47     |    -3.82     |      6       |  ❌ Failure  
     33      |   -4249.37   |   -1399.37   |   -1405.89   |     624      |  ✅ Success  
     34      |   -247.42    |   -301.06    |   -435.54    |     153      |  ✅ Success  
     35      |    269.60    |   -164.64    |   -219.48    |      88      |  ✅ Success  
     36      |   -160.56    |   -291.99    |   -282.38    |     153      |  ✅ Success  
     37      |   -1066.28   |    -89.38    |    -92.37    |      60      |  ❌ Failure  
     38      |    72.51     |   -220.93    |   -218.58    |     118      |  ✅ Success  
     39      |   -9804.37   |   -2317.40   |   -1970.59   |     1000     | ⏱️  Timeout 
     40      |   -917.10    |   -508.90    |   -652.30    |     241      |  ✅ Success  
  📊 统计 [Ep 40]: Actor Loss=19.9336, Critic Loss=318.5075, Alpha=0.1826, TD-error=11.9916, Beta=1.0000
     41      |   -549.46    |    -8.57     |    -5.14     |      7       |  ❌ Failure  
     42      |    426.83    |   -169.38    |   -104.93    |      78      |  ✅ Success  
     43      |   -378.94    |   -353.88    |   -205.41    |     160      |  ✅ Success  
     44      |   -773.60    |   -526.60    |   -475.53    |     274      |  ✅ Success  
     45      |     0.13     |   -220.49    |   -244.21    |     133      |  ✅ Success  
     46      |   -1425.46   |   -133.50    |   -170.35    |      98      |  ❌ Failure  
     47      |   -3365.08   |   -990.71    |   -1236.59   |     475      |  ✅ Success  
     48      |   -2660.94   |   -932.70    |   -703.98    |     378      |  ✅ Success  
     49      |   -4203.83   |   -644.95    |   -727.88    |     484      |  ❌ Failure  
     50      |   -3148.73   |   -1300.30   |   -1048.08   |     477      |  ✅ Success  
  📊 统计 [Ep 50]: Actor Loss=19.3339, Critic Loss=376.9910, Alpha=0.2501, TD-error=14.3165, Beta=1.0000
     51      |   -2607.86   |   -293.70    |   -398.42    |     243      |  ❌ Failure  
     52      |   -681.32    |   -362.72    |   -316.88    |     192      |  ✅ Success  
     53      |   -8378.85   |   -1588.60   |   -1834.35   |     1000     | ⏱️  Timeout 
     54      |   -7533.96   |   -1294.01   |   -1345.50   |     960      |  ✅ Success  
     55      |   -2892.91   |   -671.94    |   -525.51    |     385      |  ✅ Success  
     56      |   -9933.60   |   -1798.06   |   -1795.69   |     1000     | ⏱️  Timeout 
     57      |   -628.97    |    -24.86    |    -16.83    |      16      |  ❌ Failure  
     58      |   -8495.92   |   -1387.28   |   -1424.18   |     1000     | ⏱️  Timeout 
     59      |   -773.31    |   -273.85    |   -302.74    |     214      |  ✅ Success  
     60      |    82.08     |   -163.50    |   -175.53    |     130      |  ✅ Success  
  📊 统计 [Ep 60]: Actor Loss=13.7115, Critic Loss=332.7945, Alpha=0.2857, TD-error=12.4077, Beta=1.0000
     61      |   -6216.57   |   -1045.31   |   -936.70    |     696      |  ✅ Success  
     62      |    -35.80    |   -210.76    |   -211.36    |     159      |  ✅ Success  
     63      |   -1533.25   |   -638.84    |   -557.77    |     399      |  ✅ Success  
     64      |   -704.75    |    -37.40    |    -24.39    |      23      |  ❌ Failure  
     65      |   -9151.45   |   -1253.55   |   -1314.46   |     951      |  ✅ Success  
     66      |   -632.84    |    -15.95    |    -20.50    |      17      |  ❌ Failure  
     67      |   -760.70    |    -47.94    |    -32.40    |      30      |  ❌ Failure  
     68      |    -37.96    |   -301.79    |   -181.30    |     147      |  ✅ Success  
     69      |   -1287.61   |   -435.18    |   -440.79    |     377      |  ✅ Success  
     70      |   -853.49    |    -56.75    |    -46.89    |      48      |  ❌ Failure  
  📊 统计 [Ep 70]: Actor Loss=4.3958, Critic Loss=397.5494, Alpha=0.3019, TD-error=15.1562, Beta=1.0000
     71      |   -563.26    |   -270.84    |   -328.94    |     231      |  ✅ Success  
     72      |   -573.24    |   -392.89    |   -400.95    |     291      |  ✅ Success  
     73      |   -758.20    |    -35.07    |    -31.52    |      31      |  ❌ Failure  
     74      |    471.88    |    -94.35    |    -81.78    |      81      |  ✅ Success  
     75      |   -983.33    |    -57.67    |    -93.06    |      62      |  ❌ Failure  
     76      |   -793.19    |    -36.41    |    -51.71    |      36      |  ❌ Failure  
     77      |    559.59    |    -97.06    |    -81.06    |      66      |  ✅ Success  
     78      |   -1126.64   |   -201.75    |   -366.19    |     256      |  ✅ Success  
     79      |   -3344.63   |   -772.38    |   -861.58    |     563      |  ✅ Success  
     80      |   -784.03    |    -53.41    |    -45.55    |      33      |  ❌ Failure  
  📊 统计 [Ep 80]: Actor Loss=12.6098, Critic Loss=373.7229, Alpha=0.3472, TD-error=14.1101, Beta=1.0000
     81      |   -135.52    |   -154.90    |   -207.11    |     144      |  ✅ Success  
     82      |    551.36    |    -79.93    |    -85.16    |      64      |  ✅ Success  
     83      |   -1109.89   |    -83.86    |    -56.38    |      70      |  ❌ Failure  
     84      |   -1140.17   |    -82.45    |   -124.95    |      79      |  ❌ Failure  
     85      |    414.60    |   -109.91    |    -74.01    |      90      |  ✅ Success  
     86      |   -715.78    |    -31.85    |    -51.91    |      26      |  ❌ Failure  
     87      |   -2184.32   |   -569.07    |   -522.08    |     368      |  ✅ Success  
     88      |   -164.48    |   -244.37    |   -284.67    |     175      |  ✅ Success  
     89      |    210.25    |   -226.89    |   -194.31    |     121      |  ✅ Success  
