📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251029_141548/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
================================================================================
     0       |   -508.07    |    -0.61     |    -0.44     |      4       |  ❌ Failure  
     1       |    544.33    |   -159.41    |    -94.74    |     166      |  ✅ Success  
     2       |   -2887.90   |   -682.99    |   -728.49    |     750      |  ❌ Failure  
     3       |   -989.77    |   -624.58    |   -605.59    |     642      |  ✅ Success  
     4       |   -516.20    |    -2.93     |    -1.16     |      6       |  ❌ Failure  
     5       |   -3405.24   |   -824.14    |   -710.47    |     1000     | ⏱️  Timeout 
     6       |   -3448.17   |   -763.96    |   -940.35    |     1000     | ⏱️  Timeout 
     7       |    378.23    |   -213.08    |   -158.12    |     204      |  ✅ Success  
     8       |   -757.15    |   -511.04    |   -489.38    |     580      |  ✅ Success  
     9       |    275.52    |   -179.92    |   -261.14    |     301      |  ✅ Success  
     10      |    797.03    |    -29.94    |    -80.92    |      75      |  ✅ Success  
  📊 统计 [Ep 10]: Actor Loss=21.1373, Critic Loss=104.1190, Alpha=0.3648, TD-error=5.0045, Beta=1.0000
     11      |   -3567.64   |   -897.58    |   -629.10    |     1000     | ⏱️  Timeout 
     12      |   -122.15    |   -344.94    |   -378.51    |     414      |  ✅ Success  
     13      |   -1106.96   |   -623.24    |   -686.64    |     693      |  ✅ Success  
     14      |   -799.08    |   -117.45    |    -43.78    |     113      |  ❌ Failure  
     15      |   -4021.55   |   -908.18    |   -982.93    |     1000     | ⏱️  Timeout 
     16      |   -3670.36   |   -891.49    |   -727.77    |     1000     | ⏱️  Timeout 
     17      |    405.94    |   -183.27    |   -135.41    |     200      |  ✅ Success  
     18      |    212.11    |   -177.49    |   -128.48    |     221      |  ✅ Success  
     19      |    421.21    |   -176.09    |   -111.29    |     223      |  ✅ Success  
     20      |   -514.93    |    -0.95     |    -1.31     |      7       |  ❌ Failure  
  📊 统计 [Ep 20]: Actor Loss=21.1410, Critic Loss=149.5807, Alpha=0.2369, TD-error=8.9189, Beta=1.0000
     21      |   -838.27    |   -354.11    |   -547.87    |     525      |  ✅ Success  
     22      |   -3751.05   |   -830.93    |   -704.63    |     1000     | ⏱️  Timeout 
     23      |   -343.27    |   -271.47    |   -285.52    |     394      |  ✅ Success  
     24      |   -2695.90   |   -671.06    |   -773.09    |     1000     | ⏱️  Timeout 
     25      |   -2943.71   |   -653.30    |   -504.67    |     838      |  ❌ Failure  
     26      |   -710.45    |    -22.62    |    -42.68    |      84      |  ❌ Failure  
     27      |   -595.41    |    -34.88    |    -29.88    |      58      |  ❌ Failure  
