📝 日志文件: /home/zhangpeng/UAV_PATH_PLANNING/runs/exp_baseline_20251031_163318/training.log
💡 训练输出将实时保存到日志文件
🚀 启用AMP混合精度训练（预期加速40-100%）
🚀 启用异步数据传输（预期加速10-20%）
SAC训练中...
📊 优先级经验回放（PER）配置:
  - 容量: 20000
  - Alpha: 0.6 (优先级指数)
  - Beta: 0.4 → 1.0 (重要性采样权重)
  - 内存优化: float32 (节省50%内存)

================================================================================
  Episode    |    Leader    |  Follower0   |  Follower1   |    Steps     |    Status   
================================================================================
     0       |   -528.07    |    -3.85     |    -2.96     |      4       |  ❌ Failure  
     1       |   -695.08    |   -496.39    |   -554.86    |     180      |  ✅ Success  
     2       |   -568.88    |    -7.59     |    -7.66     |      9       |  ❌ Failure  
     3       |  -13641.86   |   -2740.20   |   -2321.48   |     1000     | ⏱️  Timeout 
     4       |   -571.76    |    -12.47    |    -9.87     |      8       |  ❌ Failure  
     5       |   -768.75    |    -99.65    |    -39.42    |      39      |  ❌ Failure  
     6       |   -1744.82   |   -207.17    |   -264.70    |     123      |  ❌ Failure  
     7       |   -4530.15   |   -1482.41   |   -1306.81   |     460      |  ✅ Success  
     8       |   -6338.12   |   -2056.16   |   -2335.22   |     789      |  ✅ Success  
     9       |   -594.05    |   -292.52    |   -489.80    |     132      |  ✅ Success  
     10      |    -86.67    |   -269.00    |   -309.05    |     140      |  ✅ Success  
  📊 统计 [Ep 10]: Actor Loss=49.3966, Critic Loss=161.8412, Alpha=0.5139, TD-error=8.7387, Beta=1.0000
     11      |   -706.57    |    -44.92    |    -25.99    |      25      |  ❌ Failure  
     12      |  -13641.30   |   -3366.38   |   -1891.26   |     1000     | ⏱️  Timeout 
     13      |  -12009.72   |   -2041.72   |   -3275.40   |     1000     | ⏱️  Timeout 
     14      |  -13416.11   |   -3331.97   |   -2868.27   |     1000     | ⏱️  Timeout 
     15      |   -1079.13   |   -125.00    |   -115.30    |      60      |  ❌ Failure  
     16      |   -1279.12   |   -400.39    |   -304.78    |     222      |  ✅ Success  
     17      |   -6775.36   |   -2150.24   |   -1871.96   |     794      |  ✅ Success  
     18      |   -4531.61   |   -1180.35   |   -1079.80   |     547      |  ✅ Success  
     19      |   -766.01    |   -373.16    |   -373.95    |     207      |  ✅ Success  
     20      |   -808.68    |    -56.50    |    -61.33    |      33      |  ❌ Failure  
  📊 统计 [Ep 20]: Actor Loss=46.5819, Critic Loss=96.2301, Alpha=0.2000, TD-error=6.1358, Beta=1.0000
     21      |   -994.77    |   -365.49    |   -452.28    |     194      |  ✅ Success  
     22      |   -1780.76   |   -781.14    |   -633.16    |     350      |  ✅ Success  
     23      |   -3007.42   |   -767.63    |   -758.37    |     391      |  ✅ Success  
     24      |   -550.74    |    -4.47     |    -10.43    |      7       |  ❌ Failure  
     25      |   -348.34    |   -219.83    |   -330.26    |     161      |  ✅ Success  
     26      |   -9727.16   |   -2829.63   |   -2600.15   |     1000     | ⏱️  Timeout 
     27      |  -13277.59   |   -1834.97   |   -2382.17   |     1000     | ⏱️  Timeout 
     28      |   -1086.55   |   -661.22    |   -443.03    |     253      |  ✅ Success  
     29      |   -4707.83   |   -1704.11   |   -1154.73   |     584      |  ✅ Success  
     30      |   -3912.89   |   -960.62    |   -1115.03   |     486      |  ✅ Success  
  📊 统计 [Ep 30]: Actor Loss=34.9054, Critic Loss=163.7018, Alpha=0.1800, TD-error=8.5948, Beta=1.0000
     31      |   -5192.21   |   -685.73    |   -1096.32   |     417      |  ❌ Failure  
     32      |   -869.39    |    -78.39    |    -75.14    |      40      |  ❌ Failure  
     33      |   -7299.98   |   -1758.07   |   -2216.83   |     959      |  ✅ Success  
     34      |   -3914.63   |   -786.58    |   -1263.86   |     520      |  ✅ Success  
     35      |   -9789.15   |   -1915.67   |   -2884.19   |     977      |  ✅ Success  
     36      |   -1180.14   |   -552.93    |   -513.97    |     258      |  ✅ Success  
     37      |   -5654.30   |   -1253.05   |   -1606.54   |     422      |  ✅ Success  
     38      |   -5406.74   |   -991.87    |   -787.58    |     599      |  ✅ Success  
     39      |   -3023.87   |   -694.32    |   -620.66    |     360      |  ✅ Success  
     40      |   -1175.44   |   -363.23    |   -355.52    |     199      |  ✅ Success  
  📊 统计 [Ep 40]: Actor Loss=31.2578, Critic Loss=219.2736, Alpha=0.1590, TD-error=10.2256, Beta=1.0000
     41      |   -562.71    |    -5.35     |    -5.14     |      9       |  ❌ Failure  
     42      |  -14216.82   |   -4577.20   |   -2973.65   |     1000     | ⏱️  Timeout 
     43      |   -3089.65   |   -901.09    |   -644.00    |     314      |  ✅ Success  
     44      |  -10520.15   |   -1890.57   |   -1758.11   |     948      |  ✅ Success  
     45      |   -568.32    |    -6.00     |    -6.65     |      11      |  ❌ Failure  
     46      |    181.54    |   -102.22    |   -121.41    |      75      |  ✅ Success  
     47      |    827.44    |    -17.34    |    -44.82    |      31      |  ✅ Success  
     48      |   -3254.85   |   -558.16    |   -1036.60   |     320      |  ✅ Success  
     49      |   -796.91    |   -270.76    |   -367.76    |     159      |  ✅ Success  
     50      |   -850.75    |    -48.10    |    -48.99    |      38      |  ❌ Failure  
  📊 统计 [Ep 50]: Actor Loss=36.2255, Critic Loss=263.8225, Alpha=0.1503, TD-error=10.6831, Beta=1.0000
     51      |   -1743.43   |   -223.29    |   -115.63    |     112      |  ❌ Failure  
