
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 4 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_20251025_161652.log
============================================================

Episode  40, Steps: 1000, Total: -6332.55, Leader: -2620.53, [F0: -637.65, F1: -593.71, F2: -1286.02, F3: -1194.63] - ⏱ timeout
Episode  41, Steps: 1000, Total: -8395.31, Leader: -3988.17, [F0: -945.21, F1: -931.40, F2: -1413.63, F3: -1116.90] - ⏱ timeout
Episode  42, Steps:  244, Total: -2295.16, Leader: -1563.68, [F0: -203.68, F1: -217.07, F2: -159.08, F3: -151.65] - ✗ failure
Episode  43, Steps:  746, Total: -3553.29, Leader: -1140.88, [F0: -286.56, F1: -561.64, F2: -598.15, F3: -966.06] - ✓ success
Episode  44, Steps: 1000, Total: -7186.10, Leader: -3741.74, [F0: -497.77, F1: -721.85, F2: -1025.32, F3: -1199.42] - ⏱ timeout
Episode  45, Steps: 1000, Total: -4740.50, Leader: -2419.93, [F0: -513.87, F1: -637.14, F2: -599.09, F3: -570.46] - ⏱ timeout
Episode  46, Steps: 1000, Total: -2752.19, Leader: -1902.15, [F0: -64.50, F1: -99.38, F2: -257.84, F3: -428.33] - ⏱ timeout
Episode  47, Steps:   27, Total: -636.00, Leader: -591.76, [F0: -12.40, F1: -27.71, F2: -5.40, F3: 1.27] - ✗ failure
Episode  48, Steps: 1000, Total: -3424.49, Leader: -1855.22, [F0: -656.49, F1: -270.92, F2: -475.81, F3: -166.06] - ⏱ timeout
Episode  49, Steps:   19, Total: -639.70, Leader: -580.85, [F0: -16.29, F1: -29.29, F2: -5.32, F3: -7.94] - ✗ failure
Episode  50, Steps:   74, Total:  614.38, Leader:  816.34, [F0: -70.91, F1: -49.90, F2: -39.47, F3: -41.68] - ✓ success
Episode  51, Steps: 1000, Total: -3934.92, Leader: -2396.83, [F0: -483.21, F1: -389.60, F2: -482.23, F3: -183.05] - ⏱ timeout
Episode  52, Steps:   79, Total: -1063.01, Leader: -779.02, [F0: -86.81, F1: -55.62, F2: -55.28, F3: -86.29] - ✗ failure
Episode  53, Steps:    7, Total: -534.09, Leader: -524.34, [F0: -1.87, F1: -1.47, F2: -2.22, F3: -4.20] - ✗ failure
Episode  54, Steps:   65, Total: -897.93, Leader: -738.87, [F0: -68.49, F1: -14.30, F2: -32.32, F3: -43.95] - ✗ failure
Episode  55, Steps:   39, Total: -747.93, Leader: -639.79, [F0: -46.30, F1: -32.74, F2: -11.11, F3: -18.00] - ✗ failure
Episode  56, Steps:  136, Total: -1412.22, Leader: -1009.38, [F0: -129.38, F1: -87.28, F2: -63.35, F3: -122.84] - ✗ failure
Episode  57, Steps:    5, Total: -529.71, Leader: -521.07, [F0: -2.20, F1: -2.15, F2: -2.22, F3: -2.08] - ✗ failure
Episode  58, Steps:   21, Total: -627.45, Leader: -585.68, [F0: -15.11, F1: -9.90, F2: -7.63, F3: -9.12] - ✗ failure
Episode  59, Steps:  260, Total: -987.80, Leader:   90.37, [F0: -205.22, F1: -198.47, F2: -355.09, F3: -319.39] - ✓ success
Episode  60, Steps:  230, Total: -539.45, Leader:  392.44, [F0: -157.21, F1: -164.84, F2: -328.61, F3: -281.23] - ✓ success
Episode  61, Steps:  389, Total: -1631.78, Leader: -280.40, [F0: -282.83, F1: -128.77, F2: -465.31, F3: -474.48] - ✓ success
Episode  62, Steps:   55, Total: -867.04, Leader: -726.02, [F0: -41.50, F1: -40.10, F2: -31.45, F3: -27.98] - ✗ failure
Episode  63, Steps:    6, Total: -540.31, Leader: -525.87, [F0: -4.72, F1: -3.86, F2: -2.28, F3: -3.59] - ✗ failure
Episode  64, Steps:   29, Total: -714.47, Leader: -624.88, [F0: -25.47, F1: -1.36, F2: -37.78, F3: -24.97] - ✗ failure
Episode  65, Steps:  102, Total: -1192.17, Leader: -884.68, [F0: -98.06, F1: -120.47, F2: -46.22, F3: -42.74] - ✗ failure
Episode  66, Steps:   33, Total: -730.44, Leader: -642.17, [F0: -20.13, F1: -35.37, F2: -14.02, F3: -18.74] - ✗ failure
Episode  67, Steps:  101, Total:  415.77, Leader:  773.37, [F0: -57.11, F1: -41.01, F2: -143.89, F3: -115.58] - ✓ success
Episode  68, Steps:  186, Total: -186.46, Leader:  509.50, [F0: -110.48, F1: -81.46, F2: -275.38, F3: -228.65] - ✓ success
Episode  69, Steps: 1000, Total: -13953.94, Leader: -6842.67, [F0: -3564.07, F1: -1090.67, F2: -1247.04, F3: -1209.50] - ⏱ timeout
Episode  70, Steps: 1000, Total: -8963.75, Leader: -6074.05, [F0: -856.91, F1: -583.49, F2: -764.78, F3: -684.53] - ⏱ timeout
Episode  71, Steps: 1000, Total: -8849.41, Leader: -5898.29, [F0: -971.35, F1: -581.09, F2: -825.33, F3: -573.36] - ⏱ timeout
Episode  72, Steps:  165, Total:  -16.40, Leader:  560.81, [F0: -130.64, F1: -70.39, F2: -278.14, F3: -98.04] - ✓ success
Episode  73, Steps:  163, Total: -688.81, Leader:  153.06, [F0: -282.13, F1: -109.77, F2: -272.05, F3: -177.92] - ✓ success
Episode  74, Steps: 1000, Total: -9773.99, Leader: -6020.96, [F0: -1655.47, F1: -662.00, F2: -792.74, F3: -642.82] - ⏱ timeout
Episode  75, Steps:   51, Total:  712.68, Leader:  880.74, [F0: -40.29, F1: -39.46, F2: -42.02, F3: -46.29] - ✓ success
Episode  76, Steps:   85, Total: -1215.30, Leader: -879.56, [F0: -54.89, F1: -85.01, F2: -98.12, F3: -97.72] - ✗ failure
Episode  77, Steps:   67, Total:  556.45, Leader:  773.99, [F0: -37.09, F1: -35.09, F2: -78.28, F3: -67.08] - ✓ success
Episode  78, Steps:  573, Total: -5278.98, Leader: -2851.69, [F0: -540.89, F1: -872.15, F2: -521.55, F3: -492.69] - ✓ success
Episode  79, Steps:   52, Total:  704.97, Leader:  851.49, [F0: -20.18, F1: -32.73, F2: -43.40, F3: -50.21] - ✓ success
