
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 4 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_20251025_161652.log
============================================================

Episode 182, Steps:   92, Total:  597.65, Leader:  759.70, [F0: -28.98, F1: -6.50, F2: -82.03, F3: -44.53] - ✓ success
Episode 183, Steps:   52, Total:  719.99, Leader:  853.20, [F0: -15.08, F1: -33.05, F2: -61.99, F3: -23.09] - ✓ success
Episode 184, Steps:   38, Total:  851.54, Leader:  903.68, [F0: -13.69, F1: -7.78, F2: -15.47, F3: -15.21] - ✓ success
Episode 185, Steps:   45, Total:  857.05, Leader:  897.74, [F0: -5.04, F1: -10.90, F2: -40.56, F3: 15.82] - ✓ success
Episode 186, Steps:   82, Total:  546.21, Leader:  680.57, [F0: -57.50, F1: -31.96, F2: -21.97, F3: -22.93] - ✓ success
Episode 187, Steps:   46, Total:  856.49, Leader:  885.04, [F0: -6.24, F1: -8.00, F2: -20.44, F3: 6.12] - ✓ success
Episode 188, Steps:   65, Total:  664.90, Leader:  782.17, [F0: -3.89, F1: -20.95, F2: -51.45, F3: -40.98] - ✓ success
Episode 189, Steps:   61, Total:  653.48, Leader:  809.30, [F0: -19.55, F1: -59.63, F2: -48.80, F3: -27.84] - ✓ success
Episode 190, Steps:   45, Total:  806.07, Leader:  886.25, [F0: -9.47, F1: -9.95, F2: -52.95, F3: -7.80] - ✓ success
Episode 191, Steps:    5, Total: -532.54, Leader: -521.62, [F0: -2.52, F1: -3.19, F2: -2.79, F3: -2.42] - ✗ failure
Episode 192, Steps:   55, Total:  720.48, Leader:  841.40, [F0: -29.30, F1: -47.25, F2: -26.72, F3: -17.65] - ✓ success
Episode 193, Steps:   41, Total:  821.98, Leader:  903.44, [F0: -8.23, F1: 2.19, F2: -68.35, F3: -7.07] - ✓ success
Episode 194, Steps:  118, Total:  115.89, Leader:  371.50, [F0: -55.59, F1: -54.06, F2: -77.83, F3: -68.14] - ✓ success
Episode 195, Steps:   31, Total:  884.23, Leader:  921.55, [F0: 4.93, F1: -13.39, F2: -17.34, F3: -11.51] - ✓ success
Episode 196, Steps:   50, Total:  735.98, Leader:  850.48, [F0: -54.41, F1: -19.71, F2: -25.28, F3: -15.10] - ✓ success
Episode 197, Steps:   65, Total:  716.09, Leader:  804.66, [F0: -11.69, F1: -29.28, F2: -26.53, F3: -21.07] - ✓ success
Episode 198, Steps:   46, Total: -747.70, Leader: -677.69, [F0: -23.51, F1: -21.31, F2: -7.15, F3: -18.04] - ✗ failure
Episode 199, Steps:   72, Total:  676.06, Leader:  819.78, [F0: -4.89, F1: -10.47, F2: -29.01, F3: -99.35] - ✓ success
Episode 200, Steps:   63, Total:  675.83, Leader:  822.85, [F0: -13.77, F1: -41.79, F2: -61.44, F3: -30.02] - ✓ success
Episode 201, Steps:  128, Total:  248.99, Leader:  611.77, [F0: -48.92, F1: 9.99, F2: -260.11, F3: -63.76] - ✓ success
Episode 202, Steps:   91, Total:  506.84, Leader:  678.49, [F0: -35.11, F1: -32.02, F2: -58.60, F3: -45.92] - ✓ success
Episode 203, Steps:   55, Total:  736.72, Leader:  833.75, [F0: -3.23, F1: -25.97, F2: -42.07, F3: -25.76] - ✓ success
Episode 204, Steps:   57, Total:  804.71, Leader:  848.48, [F0: 7.76, F1: -20.71, F2: -22.78, F3: -8.04] - ✓ success
Episode 205, Steps:   62, Total:  778.01, Leader:  840.17, [F0: -6.27, F1: -13.24, F2: -29.71, F3: -12.94] - ✓ success
Episode 206, Steps:   38, Total:  872.69, Leader:  906.54, [F0: -12.50, F1: -1.87, F2: -10.67, F3: -8.82] - ✓ success
Episode 207, Steps:  140, Total:  408.36, Leader:  608.42, [F0: -55.11, F1: -29.39, F2: -62.96, F3: -52.60] - ✓ success
Episode 208, Steps:   38, Total:  893.22, Leader:  924.35, [F0: -0.41, F1: -0.22, F2: -33.93, F3: 3.42] - ✓ success
Episode 209, Steps:   25, Total:  906.72, Leader:  953.30, [F0: 14.19, F1: 1.47, F2: -50.77, F3: -11.46] - ✓ success
Episode 210, Steps:   58, Total:  763.76, Leader:  850.27, [F0: -18.00, F1: -1.39, F2: -30.36, F3: -36.75] - ✓ success
Episode 211, Steps:   34, Total:  929.82, Leader:  921.72, [F0: 7.14, F1: 9.13, F2: 8.52, F3: -16.68] - ✓ success
Episode 212, Steps:   37, Total:  862.20, Leader:  916.25, [F0: -5.07, F1: -3.37, F2: -18.80, F3: -26.81] - ✓ success
Episode 213, Steps:   65, Total:  713.94, Leader:  800.24, [F0: -11.81, F1: -28.91, F2: -6.96, F3: -38.62] - ✓ success
Episode 214, Steps:   56, Total:  402.28, Leader:  675.18, [F0: -73.27, F1: -54.83, F2: -87.18, F3: -57.63] - ✓ success
Episode 215, Steps:  108, Total:  760.98, Leader:  835.61, [F0: -35.80, F1: -2.30, F2: -16.05, F3: -20.48] - ✓ success
Episode 216, Steps:   63, Total:  766.40, Leader:  851.43, [F0: -37.71, F1: 6.35, F2: -39.78, F3: -13.88] - ✓ success
Episode 217, Steps:   59, Total:  762.72, Leader:  825.24, [F0: -22.04, F1: -23.58, F2: 2.85, F3: -19.74] - ✓ success
Episode 218, Steps:  102, Total:  738.09, Leader:  806.94, [F0: -12.59, F1: -12.54, F2: 2.80, F3: -46.52] - ✓ success
Episode 219, Steps:   42, Total:  853.02, Leader:  888.25, [F0: -15.58, F1: 9.79, F2: -22.08, F3: -7.35] - ✓ success
Episode 220, Steps:   40, Total:  873.42, Leader:  905.80, [F0: -1.70, F1: -4.52, F2: -12.88, F3: -13.28] - ✓ success
  💾 模型已保存 (episode 220)
Episode 221, Steps:   43, Total:  895.48, Leader:  904.76, [F0: -4.26, F1: -3.62, F2: -5.19, F3: 3.78] - ✓ success
Episode 222, Steps:   74, Total:  547.50, Leader:  679.62, [F0: -25.73, F1: -41.71, F2: -25.25, F3: -39.42] - ✓ success
Episode 223, Steps:   33, Total:  951.48, Leader:  943.30, [F0: 12.26, F1: 16.41, F2: -15.98, F3: -4.51] - ✓ success
Episode 224, Steps:   57, Total:  699.54, Leader:  833.19, [F0: -5.13, F1: -37.39, F2: -68.38, F3: -22.75] - ✓ success
Episode 225, Steps:   56, Total:  729.35, Leader:  834.07, [F0: -9.10, F1: -29.96, F2: -38.02, F3: -27.65] - ✓ success
Episode 226, Steps:   56, Total:  872.75, Leader:  895.86, [F0: 4.03, F1: 5.14, F2: -16.39, F3: -15.90] - ✓ success
Episode 227, Steps:   55, Total:  765.24, Leader:  850.56, [F0: 3.25, F1: -15.97, F2: -22.25, F3: -50.35] - ✓ success
Episode 228, Steps:   55, Total:  819.25, Leader:  865.56, [F0: -5.70, F1: -9.63, F2: -14.33, F3: -16.66] - ✓ success
Episode 229, Steps:   57, Total:  741.50, Leader:  836.87, [F0: -33.10, F1: -14.05, F2: -17.58, F3: -30.63] - ✓ success
Episode 230, Steps:    3, Total: -521.57, Leader: -514.39, [F0: -1.82, F1: -1.76, F2: -1.65, F3: -1.95] - ✗ failure
Episode 231, Steps:   77, Total:  690.70, Leader:  752.01, [F0: -14.49, F1: -22.26, F2: 7.45, F3: -32.01] - ✓ success
Episode 232, Steps:   53, Total:  769.58, Leader:  852.77, [F0: -19.11, F1: -30.58, F2: -23.60, F3: -9.89] - ✓ success
Episode 233, Steps:  146, Total:  646.03, Leader:  753.81, [F0: -7.01, F1: -31.86, F2: -28.31, F3: -40.61] - ✓ success
Episode 234, Steps:   37, Total:  866.30, Leader:  905.69, [F0: -4.53, F1: -7.68, F2: -13.66, F3: -13.52] - ✓ success
Episode 235, Steps:   63, Total:  683.66, Leader:  816.39, [F0: -11.66, F1: -6.35, F2: -79.46, F3: -35.26] - ✓ success
Episode 236, Steps:   38, Total:  901.34, Leader:  913.65, [F0: 6.51, F1: 9.30, F2: -15.10, F3: -13.02] - ✓ success
Episode 237, Steps:   32, Total:  891.26, Leader:  925.41, [F0: -0.65, F1: -11.80, F2: -8.56, F3: -13.14] - ✓ success
Episode 238, Steps:   83, Total:  843.01, Leader:  876.37, [F0: -13.41, F1: -0.43, F2: 0.43, F3: -19.95] - ✓ success
Episode 239, Steps:   67, Total:  626.30, Leader:  778.40, [F0: -20.80, F1: -48.42, F2: -46.99, F3: -35.89] - ✓ success
Episode 240, Steps:   56, Total:  375.04, Leader:  670.38, [F0: -52.50, F1: -56.80, F2: -89.15, F3: -96.89] - ✓ success
  💾 模型已保存 (episode 240)
Episode 241, Steps:   74, Total:  641.51, Leader:  749.97, [F0: -14.75, F1: -47.02, F2: -1.53, F3: -45.16] - ✓ success
Episode 242, Steps:   62, Total:  732.33, Leader:  816.81, [F0: -1.51, F1: -22.02, F2: -44.98, F3: -15.97] - ✓ success
Episode 243, Steps:   40, Total:  895.08, Leader:  906.08, [F0: -1.46, F1: 2.50, F2: 0.50, F3: -12.54] - ✓ success
Episode 244, Steps:   97, Total:  449.92, Leader:  685.00, [F0: -33.55, F1: -10.45, F2: -142.78, F3: -48.31] - ✓ success
Episode 245, Steps:   53, Total:  687.62, Leader:  838.90, [F0: -10.60, F1: -65.94, F2: -41.53, F3: -33.22] - ✓ success
Episode 246, Steps:   60, Total:  685.21, Leader:  776.58, [F0: -14.54, F1: -24.58, F2: -17.30, F3: -34.95] - ✓ success
Episode 247, Steps:   67, Total:  828.08, Leader:  883.27, [F0: -5.20, F1: -16.62, F2: -20.00, F3: -13.37] - ✓ success
Episode 248, Steps:   56, Total:  888.20, Leader:  901.56, [F0: 10.36, F1: 1.21, F2: -9.60, F3: -15.33] - ✓ success
Episode 249, Steps:   37, Total:  877.54, Leader:  906.01, [F0: -10.58, F1: 5.79, F2: -10.75, F3: -12.93] - ✓ success
Episode 250, Steps:   43, Total:  862.60, Leader:  901.36, [F0: 6.14, F1: -5.76, F2: -19.71, F3: -19.43] - ✓ success
Episode 251, Steps:   30, Total:  956.07, Leader:  946.27, [F0: 0.67, F1: 8.62, F2: 0.77, F3: -0.26] - ✓ success
Episode 252, Steps:  109, Total:  687.89, Leader:  791.86, [F0: -9.62, F1: -15.56, F2: -46.43, F3: -32.35] - ✓ success
Episode 253, Steps:   58, Total:  802.43, Leader:  850.90, [F0: -7.83, F1: 0.77, F2: -28.49, F3: -12.92] - ✓ success
Episode 254, Steps:   47, Total:  864.22, Leader:  890.98, [F0: 0.95, F1: -4.60, F2: -15.77, F3: -7.33] - ✓ success
Episode 255, Steps:   39, Total:  912.37, Leader:  905.65, [F0: 5.71, F1: -2.44, F2: -3.62, F3: 7.06] - ✓ success
Episode 256, Steps:   70, Total:  703.69, Leader:  822.41, [F0: -17.82, F1: -33.88, F2: -29.91, F3: -37.11] - ✓ success
Episode 257, Steps:   68, Total:  715.19, Leader:  782.40, [F0: 0.63, F1: -21.34, F2: -20.18, F3: -26.33] - ✓ success
Episode 258, Steps:   59, Total:  642.59, Leader:  818.10, [F0: -38.30, F1: -22.70, F2: -41.92, F3: -72.59] - ✓ success
Episode 259, Steps:   40, Total:  898.98, Leader:  917.00, [F0: -5.02, F1: 9.55, F2: -12.48, F3: -10.07] - ✓ success
Episode 260, Steps:   31, Total:  886.73, Leader:  921.41, [F0: -10.78, F1: -19.24, F2: -12.73, F3: 8.06] - ✓ success
  💾 模型已保存 (episode 260)
Episode 261, Steps:   66, Total:  709.69, Leader:  790.86, [F0: -8.18, F1: -28.81, F2: -26.97, F3: -17.21] - ✓ success
Episode 262, Steps:   65, Total:  722.56, Leader:  810.34, [F0: -3.20, F1: -32.65, F2: -30.09, F3: -21.84] - ✓ success
Episode 263, Steps:   67, Total:  706.26, Leader:  791.01, [F0: -12.73, F1: -13.86, F2: -35.18, F3: -22.98] - ✓ success
Episode 264, Steps:   95, Total:  755.37, Leader:  830.06, [F0: -23.40, F1: -3.62, F2: -22.16, F3: -25.51] - ✓ success
Episode 265, Steps:   58, Total:  746.90, Leader:  805.60, [F0: -12.56, F1: -0.49, F2: -33.30, F3: -12.35] - ✓ success
Episode 266, Steps:   58, Total:  833.35, Leader:  861.51, [F0: 1.60, F1: -6.61, F2: -16.42, F3: -6.73] - ✓ success
Episode 267, Steps:   49, Total:  831.64, Leader:  877.40, [F0: 1.58, F1: -6.16, F2: -27.31, F3: -13.87] - ✓ success
Episode 268, Steps:   35, Total:  845.58, Leader:  910.86, [F0: -5.52, F1: -0.28, F2: -13.59, F3: -45.88] - ✓ success
Episode 269, Steps:   49, Total:  826.07, Leader:  876.29, [F0: 7.90, F1: -14.98, F2: -35.00, F3: -8.15] - ✓ success
Episode 270, Steps:   64, Total:  446.58, Leader:  588.27, [F0: -43.86, F1: -10.26, F2: -50.38, F3: -37.19] - ✓ success
Episode 271, Steps:   42, Total:  855.66, Leader:  904.94, [F0: -1.71, F1: -18.24, F2: -14.22, F3: -15.11] - ✓ success
Episode 272, Steps:   41, Total:  898.87, Leader:  915.47, [F0: 6.98, F1: 4.73, F2: -23.83, F3: -4.47] - ✓ success
Episode 273, Steps:   45, Total:  830.06, Leader:  890.64, [F0: -2.60, F1: -5.40, F2: -1.52, F3: -51.05] - ✓ success
Episode 274, Steps:   69, Total:  695.07, Leader:  799.14, [F0: -1.72, F1: -39.91, F2: -38.62, F3: -23.81] - ✓ success
Episode 275, Steps:   71, Total: -1347.05, Leader: -987.03, [F0: -124.65, F1: -49.06, F2: -113.91, F3: -72.40] - ✗ failure
Episode 276, Steps:   79, Total:  185.81, Leader:  488.58, [F0: -49.62, F1: -106.21, F2: -91.87, F3: -55.07] - ✓ success
Episode 277, Steps:   63, Total:  714.94, Leader:  821.37, [F0: -2.35, F1: -52.23, F2: -36.83, F3: -15.02] - ✓ success
Episode 278, Steps:   33, Total:  906.05, Leader:  938.80, [F0: 6.75, F1: -18.39, F2: -18.38, F3: -2.72] - ✓ success
Episode 279, Steps:   40, Total:  882.35, Leader:  913.40, [F0: -7.52, F1: -1.38, F2: -6.99, F3: -15.17] - ✓ success
Episode 280, Steps:   46, Total:  788.51, Leader:  864.78, [F0: -8.39, F1: -36.55, F2: -24.93, F3: -6.39] - ✓ success
  💾 模型已保存 (episode 280)
Episode 281, Steps:   74, Total:  672.56, Leader:  771.94, [F0: -17.06, F1: -30.03, F2: -27.26, F3: -25.02] - ✓ success
Episode 282, Steps:   33, Total:  922.48, Leader:  932.32, [F0: -0.66, F1: 7.91, F2: -4.31, F3: -12.79] - ✓ success
Episode 283, Steps:   34, Total:  913.87, Leader:  918.77, [F0: 3.17, F1: -3.85, F2: -13.90, F3: 9.68] - ✓ success
Episode 284, Steps:   65, Total:  773.69, Leader:  821.37, [F0: -10.79, F1: -4.99, F2: -26.28, F3: -5.62] - ✓ success
Episode 285, Steps:   64, Total:  769.86, Leader:  832.49, [F0: 12.64, F1: -14.89, F2: -44.52, F3: -15.86] - ✓ success
Episode 286, Steps:    9, Total: -559.68, Leader: -537.54, [F0: -4.37, F1: -4.91, F2: -6.29, F3: -6.56] - ✗ failure
Episode 287, Steps:   29, Total:  974.04, Leader:  949.75, [F0: 9.47, F1: 5.25, F2: 4.56, F3: 5.01] - ✓ success
Episode 288, Steps:   41, Total:  719.72, Leader:  847.95, [F0: -14.86, F1: -112.56, F2: -13.03, F3: 12.22] - ✓ success
Episode 289, Steps:   52, Total:  848.62, Leader:  884.79, [F0: -15.78, F1: -6.21, F2: -18.09, F3: 3.90] - ✓ success
Episode 290, Steps:   57, Total:  767.07, Leader:  840.44, [F0: 1.21, F1: -26.30, F2: -28.93, F3: -19.35] - ✓ success
Episode 291, Steps:   34, Total:  916.95, Leader:  935.60, [F0: 1.93, F1: -1.56, F2: -5.91, F3: -13.11] - ✓ success
Episode 292, Steps:   56, Total:  837.70, Leader:  857.63, [F0: 5.33, F1: -1.92, F2: -22.06, F3: -1.28] - ✓ success
Episode 293, Steps:   57, Total:  784.01, Leader:  844.22, [F0: -0.15, F1: -22.39, F2: -32.13, F3: -5.53] - ✓ success
Episode 294, Steps:   69, Total:  701.72, Leader:  778.68, [F0: 1.32, F1: -9.24, F2: -36.23, F3: -32.81] - ✓ success
Episode 295, Steps:   53, Total:  808.91, Leader:  853.61, [F0: 2.12, F1: -2.55, F2: -30.23, F3: -14.05] - ✓ success
Episode 296, Steps:   51, Total:  847.83, Leader:  871.20, [F0: -3.82, F1: -20.48, F2: -0.71, F3: 1.63] - ✓ success
Episode 297, Steps:   52, Total:  881.81, Leader:  881.26, [F0: 16.62, F1: -0.20, F2: -11.35, F3: -4.52] - ✓ success
Episode 298, Steps:   43, Total:  869.18, Leader:  898.70, [F0: -0.96, F1: 8.33, F2: -19.48, F3: -17.41] - ✓ success
Episode 299, Steps:   26, Total:  903.87, Leader:  941.62, [F0: -0.52, F1: -32.24, F2: 6.88, F3: -11.86] - ✓ success
Episode 300, Steps:   61, Total:  784.94, Leader:  838.64, [F0: -0.39, F1: -9.50, F2: -31.54, F3: -12.28] - ✓ success
  💾 模型已保存 (episode 300)
Episode 301, Steps:   61, Total:  724.90, Leader:  809.97, [F0: -18.77, F1: -14.89, F2: -37.01, F3: -14.40] - ✓ success
Episode 302, Steps:   39, Total:  918.55, Leader:  911.45, [F0: -7.01, F1: 7.01, F2: 10.01, F3: -2.90] - ✓ success
Episode 303, Steps:    7, Total: -549.25, Leader: -527.73, [F0: -3.75, F1: -7.98, F2: -2.98, F3: -6.80] - ✗ failure
Episode 304, Steps:   54, Total:  690.98, Leader:  818.26, [F0: -31.66, F1: -41.62, F2: -30.34, F3: -23.65] - ✓ success
Episode 305, Steps:   45, Total:  894.84, Leader:  904.33, [F0: 5.03, F1: 2.59, F2: -6.50, F3: -10.62] - ✓ success
Episode 306, Steps:   32, Total:  928.33, Leader:  945.99, [F0: -3.61, F1: -3.21, F2: -8.41, F3: -2.43] - ✓ success
Episode 307, Steps:   39, Total:  891.55, Leader:  918.40, [F0: -9.21, F1: -17.90, F2: 1.52, F3: -1.26] - ✓ success
Episode 308, Steps:   68, Total:  677.39, Leader:  799.48, [F0: -34.11, F1: -15.04, F2: -52.15, F3: -20.79] - ✓ success
Episode 309, Steps:   27, Total:  943.55, Leader:  944.34, [F0: -8.69, F1: -1.79, F2: 7.93, F3: 1.75] - ✓ success
Episode 310, Steps:   52, Total:  819.06, Leader:  864.28, [F0: 5.87, F1: 4.35, F2: -32.27, F3: -23.16] - ✓ success
Episode 311, Steps:   65, Total:  702.79, Leader:  812.60, [F0: 1.81, F1: -20.31, F2: -67.71, F3: -23.61] - ✓ success
Episode 312, Steps:   47, Total:  865.47, Leader:  892.02, [F0: 16.62, F1: -1.05, F2: -36.72, F3: -5.41] - ✓ success
Episode 313, Steps:   57, Total:  830.03, Leader:  849.03, [F0: 3.97, F1: -1.58, F2: -8.85, F3: -12.56] - ✓ success
Episode 314, Steps:   15, Total: -617.79, Leader: -566.97, [F0: -10.52, F1: -11.59, F2: -15.51, F3: -13.20] - ✗ failure
Episode 315, Steps:   51, Total:  796.33, Leader:  863.78, [F0: -20.00, F1: 5.21, F2: -33.14, F3: -19.51] - ✓ success
Episode 316, Steps:   65, Total:  683.65, Leader:  809.66, [F0: -51.91, F1: -11.43, F2: -2.61, F3: -60.07] - ✓ success
Episode 317, Steps:   57, Total:  816.19, Leader:  856.28, [F0: 5.76, F1: -6.17, F2: -19.63, F3: -20.05] - ✓ success
Episode 318, Steps:   59, Total:  696.98, Leader:  827.11, [F0: -13.51, F1: -40.62, F2: -33.54, F3: -42.45] - ✓ success
Episode 319, Steps:   42, Total:  930.30, Leader:  930.71, [F0: -1.80, F1: 13.76, F2: 2.03, F3: -14.40] - ✓ success
Episode 320, Steps:   42, Total:  846.99, Leader:  876.27, [F0: 1.52, F1: -11.65, F2: -0.67, F3: -18.49] - ✓ success
  💾 模型已保存 (episode 320)
Episode 321, Steps:   65, Total:  676.70, Leader:  772.94, [F0: -38.24, F1: -8.40, F2: -17.38, F3: -32.21] - ✓ success
Episode 322, Steps:   57, Total:  808.82, Leader:  861.30, [F0: -5.22, F1: -11.82, F2: -17.35, F3: -18.09] - ✓ success
Episode 323, Steps:   64, Total:  800.75, Leader:  867.57, [F0: -4.99, F1: -10.05, F2: -23.38, F3: -28.40] - ✓ success
Episode 324, Steps:   51, Total:  838.08, Leader:  872.27, [F0: -3.46, F1: -0.69, F2: -14.69, F3: -15.36] - ✓ success
Episode 325, Steps:   55, Total:  818.56, Leader:  849.22, [F0: 12.78, F1: -1.55, F2: -29.55, F3: -12.32] - ✓ success
Episode 326, Steps:   24, Total: 1008.26, Leader:  968.33, [F0: 2.74, F1: 10.51, F2: 15.69, F3: 10.99] - ✓ success
Episode 327, Steps:   37, Total:  941.34, Leader:  931.08, [F0: 9.21, F1: -6.79, F2: 10.11, F3: -2.28] - ✓ success
Episode 328, Steps:   60, Total:  782.67, Leader:  829.25, [F0: 17.64, F1: -2.02, F2: -35.29, F3: -26.91] - ✓ success
Episode 329, Steps:   41, Total:  910.43, Leader:  924.17, [F0: 8.19, F1: 0.95, F2: -21.14, F3: -1.74] - ✓ success
Episode 330, Steps:   48, Total:  930.66, Leader:  901.13, [F0: 6.61, F1: 4.48, F2: 21.62, F3: -3.17] - ✓ success
Episode 331, Steps:   56, Total:  828.34, Leader:  863.01, [F0: -1.65, F1: -8.10, F2: -25.27, F3: 0.36] - ✓ success
Episode 332, Steps:   56, Total:  889.44, Leader:  861.50, [F0: 9.07, F1: -3.49, F2: 43.60, F3: -21.24] - ✓ success
Episode 333, Steps:   44, Total:  932.43, Leader:  919.79, [F0: 12.68, F1: -2.50, F2: 11.11, F3: -8.66] - ✓ success
Episode 334, Steps:   45, Total:  855.63, Leader:  896.00, [F0: -9.01, F1: -17.87, F2: -1.64, F3: -11.83] - ✓ success
Episode 335, Steps:   49, Total:  937.91, Leader:  897.98, [F0: 15.04, F1: 1.40, F2: 33.62, F3: -10.12] - ✓ success
Episode 336, Steps:   49, Total:  803.34, Leader:  869.19, [F0: -3.99, F1: -13.29, F2: -28.19, F3: -20.39] - ✓ success
Episode 337, Steps:   61, Total:  764.57, Leader:  820.40, [F0: 0.49, F1: -8.66, F2: -22.86, F3: -24.79] - ✓ success
Episode 338, Steps:   44, Total:  861.88, Leader:  893.56, [F0: -2.97, F1: -5.07, F2: -13.25, F3: -10.39] - ✓ success
Episode 339, Steps:   33, Total:  921.00, Leader:  940.35, [F0: 13.14, F1: -1.03, F2: -26.82, F3: -4.65] - ✓ success
Episode 340, Steps:   46, Total:  921.97, Leader:  900.07, [F0: 0.06, F1: -4.09, F2: 28.16, F3: -2.23] - ✓ success
  💾 模型已保存 (episode 340)
Episode 341, Steps:   36, Total:  926.42, Leader:  918.90, [F0: 9.03, F1: -8.61, F2: 8.31, F3: -1.22] - ✓ success
Episode 342, Steps:   68, Total:  815.22, Leader:  855.55, [F0: -3.23, F1: -5.42, F2: -9.54, F3: -22.14] - ✓ success
Episode 343, Steps:   46, Total:  859.49, Leader:  888.53, [F0: -5.20, F1: -4.29, F2: -12.22, F3: -7.33] - ✓ success
Episode 344, Steps:  109, Total:  719.69, Leader:  811.05, [F0: -21.22, F1: -0.21, F2: -32.91, F3: -37.02] - ✓ success
Episode 345, Steps:   35, Total:  986.31, Leader:  940.11, [F0: 10.87, F1: 8.83, F2: 16.01, F3: 10.49] - ✓ success
Episode 346, Steps:   50, Total:  848.28, Leader:  874.15, [F0: 1.36, F1: -7.94, F2: 1.11, F3: -20.41] - ✓ success
Episode 347, Steps:   39, Total:  895.55, Leader:  934.05, [F0: -4.85, F1: 5.79, F2: -33.68, F3: -5.76] - ✓ success
Episode 348, Steps:   31, Total:  898.56, Leader:  922.65, [F0: -3.32, F1: -0.00, F2: -3.20, F3: -17.56] - ✓ success
Episode 349, Steps:   36, Total:  943.39, Leader:  927.62, [F0: 8.71, F1: 14.35, F2: 5.86, F3: -13.15] - ✓ success
Episode 350, Steps:   30, Total:  949.28, Leader:  945.19, [F0: -13.78, F1: 9.03, F2: 5.31, F3: 3.54] - ✓ success
Episode 351, Steps:   50, Total:  861.04, Leader:  875.74, [F0: -31.65, F1: 2.29, F2: 18.14, F3: -3.48] - ✓ success
Episode 352, Steps:   53, Total:  815.66, Leader:  846.14, [F0: 0.32, F1: -13.96, F2: 3.41, F3: -20.26] - ✓ success
Episode 353, Steps:   40, Total:  990.66, Leader:  938.76, [F0: 3.40, F1: 11.29, F2: 30.10, F3: 7.11] - ✓ success
Episode 354, Steps:   61, Total:  845.14, Leader:  845.84, [F0: 5.18, F1: -7.49, F2: -6.62, F3: 8.23] - ✓ success
Episode 355, Steps:   60, Total:  839.62, Leader:  848.75, [F0: -12.88, F1: 0.30, F2: 1.12, F3: 2.35] - ✓ success
Episode 356, Steps:   35, Total:  937.53, Leader:  929.27, [F0: 1.59, F1: -3.53, F2: 7.31, F3: 2.90] - ✓ success
Episode 357, Steps:   57, Total:  811.20, Leader:  848.74, [F0: -6.29, F1: 0.78, F2: -17.73, F3: -14.32] - ✓ success
Episode 358, Steps:   46, Total:  886.23, Leader:  896.65, [F0: -33.71, F1: 1.98, F2: 20.82, F3: 0.49] - ✓ success
Episode 359, Steps:   47, Total:  873.93, Leader:  886.92, [F0: -5.57, F1: 10.88, F2: -11.32, F3: -6.97] - ✓ success
Episode 360, Steps:   50, Total:  777.15, Leader:  812.56, [F0: -1.74, F1: -6.56, F2: -9.45, F3: -17.66] - ✓ success
  💾 模型已保存 (episode 360)
Episode 361, Steps:   35, Total:  917.95, Leader:  932.04, [F0: 6.25, F1: -0.72, F2: -8.56, F3: -11.06] - ✓ success
Episode 362, Steps:   41, Total:  905.02, Leader:  910.30, [F0: 6.63, F1: -4.95, F2: -8.12, F3: 1.17] - ✓ success
Episode 363, Steps:   55, Total:  827.61, Leader:  857.37, [F0: 0.18, F1: -9.17, F2: -14.44, F3: -6.33] - ✓ success
Episode 364, Steps:   41, Total:  926.18, Leader:  917.30, [F0: 18.79, F1: 9.15, F2: -10.33, F3: -8.73] - ✓ success
Episode 365, Steps:   49, Total:  864.10, Leader:  886.03, [F0: -9.47, F1: -6.17, F2: 0.20, F3: -6.51] - ✓ success
Episode 366, Steps:   62, Total:  723.44, Leader:  790.17, [F0: -12.42, F1: -18.88, F2: -20.38, F3: -15.05] - ✓ success
Episode 367, Steps:   40, Total:  897.48, Leader:  911.65, [F0: 2.70, F1: -2.50, F2: -11.13, F3: -3.24] - ✓ success
Episode 368, Steps:   35, Total:  944.43, Leader:  934.33, [F0: 8.84, F1: -2.94, F2: 13.26, F3: -9.07] - ✓ success
Episode 369, Steps:   50, Total:  905.34, Leader:  889.83, [F0: 5.75, F1: 2.23, F2: 7.53, F3: 0.00] - ✓ success
Episode 370, Steps:   43, Total:  927.11, Leader:  909.28, [F0: 6.10, F1: 2.15, F2: 9.93, F3: -0.35] - ✓ success
Episode 371, Steps:  172, Total:  244.24, Leader:  689.67, [F0: -82.16, F1: -54.73, F2: -61.90, F3: -246.64] - ✓ success
Episode 372, Steps:    7, Total: -538.19, Leader: -528.61, [F0: -2.66, F1: -4.44, F2: -1.34, F3: -1.15] - ✗ failure
Episode 373, Steps:   43, Total:  815.29, Leader:  844.66, [F0: -5.14, F1: 0.48, F2: -20.29, F3: -4.41] - ✓ success
Episode 374, Steps:   49, Total:  913.95, Leader:  895.79, [F0: 3.80, F1: -9.75, F2: 26.84, F3: -2.73] - ✓ success
Episode 375, Steps:   28, Total:  917.49, Leader:  931.42, [F0: 1.81, F1: 6.73, F2: -11.24, F3: -11.22] - ✓ success
Episode 376, Steps:   44, Total:  835.64, Leader:  878.38, [F0: -1.62, F1: -12.56, F2: -21.00, F3: -7.56] - ✓ success
